t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
1,0,13.946923,0.000000,0.000000,0,0,63.640557,1,4180484.6164,851792.3960,4725997.2451,4180483.8852,851790.4574,4726000.1391,14.6480
2,0,9.735797,0.000000,0.000000,0,0,73.262077,1,4180482.6879,851789.6140,4725994.3205,4180483.1551,851790.3086,4726000.8072,11.5716
3,0,7.248823,0.000000,0.000000,0,0,75.251973,1,4180479.8435,851788.1743,4725994.8005,4180482.4250,851790.1598,4726001.4754,5.7089
4,0,5.877736,0.000000,0.000000,0,0,71.458623,1,4180477.7164,851789.6957,4725994.8743,4180481.6948,851790.0111,4726002.1435,7.4149
5,0,13.633310,0.000000,0.000000,0,0,65.644287,1,4180470.9157,851792.3707,4725995.9244,4180480.9647,851789.8623,4726002.8117,17.5057
6,0,13.477555,0.000000,0.000000,0,0,59.749003,1,4180471.5538,851792.0699,4725999.2155,4180480.2346,851789.7135,4726003.4798,4.5720
7,0,14.213714,0.000000,0.000000,0,0,54.435752,1,4180473.3197,851789.6633,4726001.6607,4180479.5045,851789.5648,4726004.1480,4.6898
8,0,12.386788,0.000000,0.000000,0,0,49.837005,1,4180471.5767,851791.9606,4725999.1089,4180478.7744,851789.4160,4726004.8161,16.4725
9,0,11.279907,0.000000,0.000000,0,0,45.907336,1,4180472.2946,851791.2586,4726001.6665,4180478.0442,851789.2672,4726005.4843,2.4226
10,0,32.682828,0.000000,0.000000,0,0,42.555987,1,4180472.5925,851791.3871,4725993.4794,4180477.3141,851789.1185,4726006.1525,36.4480
11,0,9.904907,0.000000,0.000000,0,0,39.691521,1,4180472.6701,851790.3579,4725994.9944,4180476.5840,851788.9697,4726006.8206,5.9349
12,0,16.891062,0.000000,0.000000,0,0,37.234593,1,4180474.7276,851788.4447,4725997.1718,4180475.8539,851788.8209,4726007.4888,9.1765
13,0,11.952496,0.000000,0.000000,0,0,35.119808,1,4180471.7383,851788.4657,4725995.6476,4180475.1237,851788.6722,4726008.1569,20.6824
14,0,22.910547,0.000000,0.000000,0,0,33.294196,1,4180469.7360,851790.9498,4725999.4385,4180474.3936,851788.5234,4726008.8251,15.2079
15,0,7.627251,0.000000,0.000000,0,0,31.714948,1,4180469.7583,851790.4454,4725998.3973,4180473.6635,851788.3746,4726009.4932,15.8598
16,0,11.179781,0.000000,0.000000,0,0,30.347273,1,4180468.5042,851790.2740,4725996.3518,4180472.9334,851788.2259,4726010.1614,23.5236
17,0,19.313677,0.000000,0.000000,0,0,29.162617,1,4180468.7556,851787.7883,4725998.8605,4180472.2032,851788.0771,4726010.8295,9.4638
18,0,23.382572,0.000000,0.000000,0,0,28.137250,1,4180467.4218,851789.2899,4726002.7020,4180471.4731,851787.9283,4726011.4977,13.7077
19,0,11.689040,0.000000,0.000000,0,0,27.251173,1,4180466.7819,851786.8535,4726003.0309,4180470.7430,851787.7796,4726012.1658,14.2075
20,0,12.316573,0.000000,0.000000,0,0,26.487297,1,4180466.5916,851785.6232,4726005.1841,4180470.0129,851787.6308,4726012.8340,5.9810
21,0,8.177168,0.000000,0.000000,0,0,25.830822,1,4180467.3582,851785.4634,4726006.0037,4180469.2828,851787.4820,4726013.5021,7.2591
22,0,15.806424,0.000000,0.000000,0,0,25.268773,1,4180467.7376,851785.0903,4726008.8220,4180468.5526,851787.3333,4726014.1703,8.3067
23,0,10.244688,0.000000,0.000000,0,0,24.789667,1,4180466.9255,851786.5839,4726009.6743,4180467.8225,851787.1845,4726014.8384,8.9046
24,0,5.956708,0.000000,0.000000,0,0,24.383269,1,4180465.4062,851786.4703,4726009.9772,4180467.0924,851787.0357,4726015.5066,9.8098
