counter,mode,n_runs,n_z_only,n_d_only,n_v_only,n_or,n_majority_2of3,n_and_all3
hpmcounter10,drift,20,5,6,0,10,0,0
hpmcounter10,jump,20,18,19,1,20,2,0
hpmcounter3,drift,20,5,4,1,8,0,0
hpmcounter3,jump,20,16,18,0,20,1,0
hpmcounter4,drift,20,5,5,1,9,0,0
hpmcounter4,jump,20,16,18,1,20,1,0
hpmcounter5,drift,20,6,5,2,9,1,0
hpmcounter5,jump,20,17,17,0,20,6,0
hpmcounter6,drift,20,2,0,2,3,1,0
hpmcounter6,jump,20,3,2,3,4,2,2
hpmcounter7,drift,20,0,0,0,0,0,0
hpmcounter7,jump,20,0,0,0,0,0,0
hpmcounter8,drift,20,6,4,3,9,0,0
hpmcounter8,jump,20,18,19,1,20,2,0
hpmcounter9,drift,20,4,0,2,5,0,0
hpmcounter9,jump,20,9,0,3,9,1,0
