counter,mode,n_runs,n_z_only,n_d_only,n_v_only,n_or,n_majority_2of3,n_and_all3
hpmcounter10,drift,20,4,2,1,6,0,0
hpmcounter10,jump,20,18,18,0,19,6,0
hpmcounter3,drift,20,4,4,2,8,0,0
hpmcounter3,jump,20,16,18,2,19,5,0
hpmcounter4,drift,20,4,4,1,8,0,0
hpmcounter4,jump,20,16,18,1,19,5,0
hpmcounter5,drift,20,6,4,1,9,0,0
hpmcounter5,jump,20,17,18,1,19,8,0
hpmcounter6,drift,20,2,2,0,4,0,0
hpmcounter6,jump,20,3,1,1,4,1,0
hpmcounter7,drift,20,0,0,0,0,0,0
hpmcounter7,jump,20,0,0,0,0,0,0
hpmcounter8,drift,20,5,4,1,9,0,0
hpmcounter8,jump,20,17,18,0,19,6,0
hpmcounter9,drift,20,4,0,2,5,1,0
hpmcounter9,jump,20,9,0,1,9,1,0
