counter,mode,seed,exceed_count,cusum_max
hpmcounter10,drift,seed1,27,18.715259740509527
hpmcounter10,drift,seed10,0,0.0
hpmcounter10,drift,seed11,153,276.5931090744344
hpmcounter10,drift,seed12,217,312.80503867202617
hpmcounter10,drift,seed13,0,0.0
hpmcounter10,drift,seed14,86,72.99572409756568
hpmcounter10,drift,seed15,294,629.0088678997446
hpmcounter10,drift,seed16,0,0.0
hpmcounter10,drift,seed17,271,312.86710612092827
hpmcounter10,drift,seed18,0,0.0
hpmcounter10,drift,seed19,3,4.917193990122428
hpmcounter10,drift,seed2,2,3.0605178091043257
hpmcounter10,drift,seed20,66,63.390167139567545
hpmcounter10,drift,seed3,18,36.36831189583587
hpmcounter10,drift,seed4,0,1.9028889617260767
hpmcounter10,drift,seed5,273,308.35396283814083
hpmcounter10,drift,seed6,0,6.945741352739847
hpmcounter10,drift,seed7,34,55.47022671532093
hpmcounter10,drift,seed8,137,205.98335187529278
hpmcounter10,drift,seed9,0,20.71480285312356
hpmcounter10,jump,seed1,100,93.28995100907893
hpmcounter10,jump,seed10,133,323.660265422424
hpmcounter10,jump,seed11,169,446.9546231258116
hpmcounter10,jump,seed12,223,588.7163837947002
hpmcounter10,jump,seed13,134,208.14441415453004
hpmcounter10,jump,seed14,139,398.19710873421
hpmcounter10,jump,seed15,294,1089.933992652555
hpmcounter10,jump,seed16,141,275.3560873658136
hpmcounter10,jump,seed17,280,554.4749508572046
hpmcounter10,jump,seed18,136,311.68388566961715
hpmcounter10,jump,seed19,143,214.69314827568095
hpmcounter10,jump,seed2,137,229.49213423360737
hpmcounter10,jump,seed20,169,357.5146927350126
hpmcounter10,jump,seed3,138,197.39038708993718
hpmcounter10,jump,seed4,136,352.37457546369353
hpmcounter10,jump,seed5,273,643.0851023370582
hpmcounter10,jump,seed6,143,335.6252969618066
hpmcounter10,jump,seed7,138,188.0702409506134
hpmcounter10,jump,seed8,148,446.8669309290482
hpmcounter10,jump,seed9,137,305.01665596013834
hpmcounter10,normal,seed1,0,0.0
hpmcounter10,normal,seed10,0,0.0
hpmcounter10,normal,seed11,23,34.25679494374224
hpmcounter10,normal,seed12,151,131.19912925236116
