window,counter,mode,detected_pooled,detected_trialmax
5,hpmcounter10,drift,5,5
5,hpmcounter10,jump,14,13
5,hpmcounter3,drift,5,3
5,hpmcounter3,jump,14,9
5,hpmcounter4,drift,5,3
5,hpmcounter4,jump,14,9
5,hpmcounter5,drift,6,3
5,hpmcounter5,jump,14,10
5,hpmcounter8,drift,5,5
5,hpmcounter8,jump,14,13
10,hpmcounter10,drift,5,5
10,hpmcounter10,jump,14,13
10,hpmcounter3,drift,5,3
10,hpmcounter3,jump,14,9
10,hpmcounter4,drift,5,3
10,hpmcounter4,jump,14,9
10,hpmcounter5,drift,6,3
10,hpmcounter5,jump,14,10
10,hpmcounter8,drift,5,5
10,hpmcounter8,jump,14,13
15,hpmcounter10,drift,5,5
15,hpmcounter10,jump,14,12
15,hpmcounter3,drift,5,3
15,hpmcounter3,jump,14,9
15,hpmcounter4,drift,5,3
15,hpmcounter4,jump,14,9
15,hpmcounter5,drift,6,3
15,hpmcounter5,jump,14,10
15,hpmcounter8,drift,5,5
15,hpmcounter8,jump,14,13
20,hpmcounter10,drift,5,5
20,hpmcounter10,jump,14,11
20,hpmcounter3,drift,5,3
20,hpmcounter3,jump,14,9
20,hpmcounter4,drift,5,3
20,hpmcounter4,jump,13,9
20,hpmcounter5,drift,6,3
20,hpmcounter5,jump,13,10
20,hpmcounter8,drift,5,5
20,hpmcounter8,jump,14,12
25,hpmcounter10,drift,5,5
25,hpmcounter10,jump,14,11
25,hpmcounter3,drift,5,3
25,hpmcounter3,jump,13,9
25,hpmcounter4,drift,5,3
25,hpmcounter4,jump,13,8
25,hpmcounter5,drift,6,3
25,hpmcounter5,jump,13,10
25,hpmcounter8,drift,5,5
25,hpmcounter8,jump,14,11
30,hpmcounter10,drift,5,5
30,hpmcounter10,jump,14,11
30,hpmcounter3,drift,5,3
30,hpmcounter3,jump,13,9
30,hpmcounter4,drift,5,3
30,hpmcounter4,jump,13,8
30,hpmcounter5,drift,6,3
30,hpmcounter5,jump,13,10
30,hpmcounter8,drift,5,5
30,hpmcounter8,jump,14,12
