counter,center,mode,n_detected,n_runs
hpmcounter10,mean,drift,16,20
hpmcounter10,mean,jump,20,20
hpmcounter10,median,drift,16,20
hpmcounter10,median,jump,20,20
hpmcounter3,mean,drift,18,20
hpmcounter3,mean,jump,20,20
hpmcounter3,median,drift,19,20
hpmcounter3,median,jump,20,20
hpmcounter4,mean,drift,15,20
hpmcounter4,mean,jump,20,20
hpmcounter4,median,drift,15,20
hpmcounter4,median,jump,20,20
hpmcounter5,mean,drift,18,20
hpmcounter5,mean,jump,20,20
hpmcounter5,median,drift,18,20
hpmcounter5,median,jump,20,20
hpmcounter8,mean,drift,18,20
hpmcounter8,mean,jump,20,20
hpmcounter8,median,drift,18,20
hpmcounter8,median,jump,20,20
hpmcounter9,mean,drift,19,20
hpmcounter9,mean,jump,19,20
hpmcounter9,median,drift,19,20
hpmcounter9,median,jump,19,20
