window,counter,mode,detected
5,hpmcounter10,drift,17
5,hpmcounter10,jump,16
5,hpmcounter3,drift,19
5,hpmcounter3,jump,19
5,hpmcounter4,drift,17
5,hpmcounter4,jump,15
5,hpmcounter5,drift,18
5,hpmcounter5,jump,17
5,hpmcounter8,drift,18
5,hpmcounter8,jump,18
5,hpmcounter9,drift,15
5,hpmcounter9,jump,11
10,hpmcounter10,drift,16
10,hpmcounter10,jump,20
10,hpmcounter3,drift,17
10,hpmcounter3,jump,20
10,hpmcounter4,drift,15
10,hpmcounter4,jump,20
10,hpmcounter5,drift,18
10,hpmcounter5,jump,20
10,hpmcounter8,drift,18
10,hpmcounter8,jump,20
10,hpmcounter9,drift,19
10,hpmcounter9,jump,14
15,hpmcounter10,drift,16
15,hpmcounter10,jump,20
15,hpmcounter3,drift,16
15,hpmcounter3,jump,20
15,hpmcounter4,drift,16
15,hpmcounter4,jump,20
15,hpmcounter5,drift,19
15,hpmcounter5,jump,20
15,hpmcounter8,drift,17
15,hpmcounter8,jump,20
15,hpmcounter9,drift,19
15,hpmcounter9,jump,16
20,hpmcounter10,drift,18
20,hpmcounter10,jump,20
20,hpmcounter3,drift,18
20,hpmcounter3,jump,20
20,hpmcounter4,drift,18
20,hpmcounter4,jump,20
20,hpmcounter5,drift,15
20,hpmcounter5,jump,20
20,hpmcounter8,drift,18
20,hpmcounter8,jump,20
20,hpmcounter9,drift,19
20,hpmcounter9,jump,17
25,hpmcounter10,drift,17
25,hpmcounter10,jump,20
25,hpmcounter3,drift,18
25,hpmcounter3,jump,20
25,hpmcounter4,drift,17
25,hpmcounter4,jump,20
25,hpmcounter5,drift,17
25,hpmcounter5,jump,20
25,hpmcounter8,drift,17
25,hpmcounter8,jump,20
25,hpmcounter9,drift,19
25,hpmcounter9,jump,17
30,hpmcounter10,drift,16
30,hpmcounter10,jump,20
30,hpmcounter3,drift,16
30,hpmcounter3,jump,20
30,hpmcounter4,drift,16
30,hpmcounter4,jump,20
30,hpmcounter5,drift,16
30,hpmcounter5,jump,20
30,hpmcounter8,drift,15
30,hpmcounter8,jump,20
30,hpmcounter9,drift,19
30,hpmcounter9,jump,15
