counter,center,mode,n_runs,n_detected_pooled,n_detected_trialmax
hpmcounter10,mean,drift,20,20,5
hpmcounter10,mean,jump,20,20,20
hpmcounter10,median,drift,20,20,0
hpmcounter10,median,jump,20,20,0
hpmcounter3,mean,drift,20,20,5
hpmcounter3,mean,jump,20,20,20
hpmcounter3,median,drift,20,20,3
hpmcounter3,median,jump,20,20,13
hpmcounter4,mean,drift,20,20,5
hpmcounter4,mean,jump,20,20,20
hpmcounter4,median,drift,20,20,0
hpmcounter4,median,jump,20,20,0
hpmcounter5,mean,drift,20,20,5
hpmcounter5,mean,jump,20,20,18
hpmcounter5,median,drift,20,20,2
hpmcounter5,median,jump,20,20,15
hpmcounter6,mean,drift,20,0,0
hpmcounter6,mean,jump,20,0,0
hpmcounter6,median,drift,20,0,0
hpmcounter6,median,jump,20,0,0
hpmcounter7,mean,drift,20,0,0
hpmcounter7,mean,jump,20,0,0
hpmcounter7,median,drift,20,0,0
hpmcounter7,median,jump,20,0,0
hpmcounter8,mean,drift,20,20,5
hpmcounter8,mean,jump,20,20,20
hpmcounter8,median,drift,20,20,4
hpmcounter8,median,jump,20,20,20
hpmcounter9,mean,drift,20,20,2
hpmcounter9,mean,jump,20,20,2
hpmcounter9,median,drift,20,18,0
hpmcounter9,median,jump,20,19,1
