window,counter,mode,detected
5,hpmcounter10,drift,10
5,hpmcounter10,jump,20
5,hpmcounter3,drift,11
5,hpmcounter3,jump,20
5,hpmcounter4,drift,9
5,hpmcounter4,jump,20
5,hpmcounter5,drift,4
5,hpmcounter5,jump,15
5,hpmcounter8,drift,7
5,hpmcounter8,jump,20
5,hpmcounter9,drift,1
5,hpmcounter9,jump,0
10,hpmcounter10,drift,5
10,hpmcounter10,jump,20
10,hpmcounter3,drift,5
10,hpmcounter3,jump,20
10,hpmcounter4,drift,5
10,hpmcounter4,jump,20
10,hpmcounter5,drift,5
10,hpmcounter5,jump,18
10,hpmcounter8,drift,5
10,hpmcounter8,jump,20
10,hpmcounter9,drift,1
10,hpmcounter9,jump,0
15,hpmcounter10,drift,2
15,hpmcounter10,jump,20
15,hpmcounter3,drift,2
15,hpmcounter3,jump,20
15,hpmcounter4,drift,2
15,hpmcounter4,jump,20
15,hpmcounter5,drift,2
15,hpmcounter5,jump,20
15,hpmcounter8,drift,2
15,hpmcounter8,jump,20
15,hpmcounter9,drift,1
15,hpmcounter9,jump,1
20,hpmcounter10,drift,2
20,hpmcounter10,jump,20
20,hpmcounter3,drift,2
20,hpmcounter3,jump,20
20,hpmcounter4,drift,2
20,hpmcounter4,jump,20
20,hpmcounter5,drift,2
20,hpmcounter5,jump,20
20,hpmcounter8,drift,2
20,hpmcounter8,jump,20
20,hpmcounter9,drift,1
20,hpmcounter9,jump,1
25,hpmcounter10,drift,2
25,hpmcounter10,jump,20
25,hpmcounter3,drift,2
25,hpmcounter3,jump,20
25,hpmcounter4,drift,2
25,hpmcounter4,jump,20
25,hpmcounter5,drift,2
25,hpmcounter5,jump,20
25,hpmcounter8,drift,2
25,hpmcounter8,jump,20
25,hpmcounter9,drift,1
25,hpmcounter9,jump,1
30,hpmcounter10,drift,2
30,hpmcounter10,jump,20
30,hpmcounter3,drift,2
30,hpmcounter3,jump,20
30,hpmcounter4,drift,2
30,hpmcounter4,jump,20
30,hpmcounter5,drift,2
30,hpmcounter5,jump,20
30,hpmcounter8,drift,2
30,hpmcounter8,jump,20
30,hpmcounter9,drift,1
30,hpmcounter9,jump,1
