counter,center,H_D_pooled,H_D_trialmax
hpmcounter10,mean,17.304166666666585,50.55324242424235
hpmcounter10,median,20.666666666666686,55.0
hpmcounter3,mean,1275.064666666668,3675.419787878787
hpmcounter3,median,1625.6116666666683,4002.102878787878
hpmcounter4,mean,3.22166666666667,9.191969696969696
hpmcounter4,median,4.066666666666689,10.0
hpmcounter5,mean,89.08492424242395,269.3779242424238
hpmcounter5,median,108.31136363636337,290.05787878787845
hpmcounter6,mean,1.7763568394002505e-15,1.7763568394002505e-15
hpmcounter6,median,0.0,0.0
hpmcounter7,mean,0.0,0.0
hpmcounter7,median,0.0,0.0
hpmcounter8,mean,1639.312954545452,4739.361636363648
hpmcounter8,median,1965.8271212121235,5177.682272727276
hpmcounter9,mean,0.1299999999999999,0.5371515151515159
hpmcounter9,median,0.15151515151515138,0.5990909090909092
