metric,counter,TP,FP,FN,TN,precision,recall,f1,false_alarm
D_final (W=10),hpmcounter10,39,1,1,19,0.975,0.975,0.975,0.05
D_final (W=10),hpmcounter3,40,1,0,19,0.976,1.0,0.988,0.05
D_final (W=10),hpmcounter4,38,1,2,19,0.974,0.95,0.962,0.05
D_final (W=10),hpmcounter5,39,1,1,19,0.975,0.975,0.975,0.05
D_final (W=10),hpmcounter8,40,0,0,20,1.0,1.0,1.0,0.0
D_final (W=10),hpmcounter9,29,0,11,20,1.0,0.725,0.841,0.0
G_final (W=5),hpmcounter10,38,1,2,19,0.974,0.95,0.962,0.05
G_final (W=5),hpmcounter3,40,0,0,20,1.0,1.0,1.0,0.0
G_final (W=5),hpmcounter4,38,0,2,20,1.0,0.95,0.974,0.0
G_final (W=5),hpmcounter5,38,1,2,19,0.974,0.95,0.962,0.05
G_final (W=5),hpmcounter8,38,1,2,19,0.974,0.95,0.962,0.05
G_final (W=5),hpmcounter9,29,0,11,20,1.0,0.725,0.841,0.0
V_final (W=5),hpmcounter10,38,1,2,19,0.974,0.95,0.962,0.05
V_final (W=5),hpmcounter3,39,1,1,19,0.975,0.975,0.975,0.05
V_final (W=5),hpmcounter4,38,1,2,19,0.974,0.95,0.962,0.05
V_final (W=5),hpmcounter5,39,1,1,19,0.975,0.975,0.975,0.05
V_final (W=5),hpmcounter8,38,1,2,19,0.974,0.95,0.962,0.05
V_final (W=5),hpmcounter9,29,1,11,19,0.967,0.725,0.829,0.05
