counter,attack_type,scenario,false_alarm
hpmcounter10,drift,I,0.0
hpmcounter10,jump,I,0.0021
hpmcounter10,drift,II,0.0
hpmcounter10,jump,II,0.0
hpmcounter10,drift,III,0.0
hpmcounter10,jump,III,0.0
hpmcounter3,drift,I,0.0161
hpmcounter3,jump,I,0.0211
hpmcounter3,drift,II,0.0018
hpmcounter3,jump,II,0.0036
hpmcounter3,drift,III,0.0
hpmcounter3,jump,III,0.0
hpmcounter4,drift,I,0.0004
hpmcounter4,jump,I,0.0004
hpmcounter4,drift,II,0.0
hpmcounter4,jump,II,0.0
hpmcounter4,drift,III,0.0
hpmcounter4,jump,III,0.0
hpmcounter5,drift,I,0.0004
hpmcounter5,jump,I,0.0007
hpmcounter5,drift,II,0.0
hpmcounter5,jump,II,0.0
hpmcounter5,drift,III,0.0
hpmcounter5,jump,III,0.0
hpmcounter8,drift,I,0.0
hpmcounter8,jump,I,0.0011
hpmcounter8,drift,II,0.0
hpmcounter8,jump,II,0.0
hpmcounter8,drift,III,0.0
hpmcounter8,jump,III,0.0
