counter,attack_type,scenario,TP,FP,FN,TN,precision,recall,f1,false_alarm
hpmcounter10,jump,I,20,1,0,19,0.952,1.0,0.976,0.05
hpmcounter10,jump,II,20,1,0,19,0.952,1.0,0.976,0.05
hpmcounter10,jump,III,14,0,6,20,1.0,0.7,0.824,0.0
hpmcounter10,drift,I,19,1,1,19,0.95,0.95,0.95,0.05
hpmcounter10,drift,II,18,1,2,19,0.947,0.9,0.923,0.05
hpmcounter10,drift,III,7,0,13,20,1.0,0.35,0.519,0.0
hpmcounter3,jump,I,20,3,0,17,0.87,1.0,0.93,0.15
hpmcounter3,jump,II,20,0,0,20,1.0,1.0,1.0,0.0
hpmcounter3,jump,III,14,0,6,20,1.0,0.7,0.824,0.0
hpmcounter3,drift,I,20,3,0,17,0.87,1.0,0.93,0.15
hpmcounter3,drift,II,18,0,2,20,1.0,0.9,0.947,0.0
hpmcounter3,drift,III,8,0,12,20,1.0,0.4,0.571,0.0
hpmcounter4,jump,I,20,3,0,17,0.87,1.0,0.93,0.15
hpmcounter4,jump,II,20,0,0,20,1.0,1.0,1.0,0.0
hpmcounter4,jump,III,14,0,6,20,1.0,0.7,0.824,0.0
hpmcounter4,drift,I,19,3,1,17,0.864,0.95,0.905,0.15
hpmcounter4,drift,II,17,0,3,20,1.0,0.85,0.919,0.0
hpmcounter4,drift,III,6,0,14,20,1.0,0.3,0.462,0.0
hpmcounter5,jump,I,20,2,0,18,0.909,1.0,0.952,0.1
hpmcounter5,jump,II,20,0,0,20,1.0,1.0,1.0,0.0
hpmcounter5,jump,III,16,0,4,20,1.0,0.8,0.889,0.0
hpmcounter5,drift,I,20,2,0,18,0.909,1.0,0.952,0.1
hpmcounter5,drift,II,18,0,2,20,1.0,0.9,0.947,0.0
hpmcounter5,drift,III,5,0,15,20,1.0,0.25,0.4,0.0
hpmcounter8,jump,I,20,2,0,18,0.909,1.0,0.952,0.1
hpmcounter8,jump,II,20,0,0,20,1.0,1.0,1.0,0.0
hpmcounter8,jump,III,16,0,4,20,1.0,0.8,0.889,0.0
hpmcounter8,drift,I,20,2,0,18,0.909,1.0,0.952,0.1
hpmcounter8,drift,II,18,0,2,20,1.0,0.9,0.947,0.0
hpmcounter8,drift,III,6,0,14,20,1.0,0.3,0.462,0.0
