counter,attack_type,seed,scenario,TP,FP,FN,TN,n_windows,precision,recall,f1,false_alarm
hpmcounter3,drift,seed1,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,drift,seed2,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed3,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed4,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed5,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed6,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed7,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed8,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed10,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed11,III,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter3,drift,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed14,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed15,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed16,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed17,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed19,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed20,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter3,drift,seed2,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter3,drift,seed3,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter3,drift,seed4,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter3,drift,seed5,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,drift,seed6,II,2,3,147,137,289,0.4,0.0134,0.026,0.0214
hpmcounter3,drift,seed7,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter3,drift,seed8,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter3,drift,seed9,II,1,2,148,138,289,0.3333,0.0067,0.0132,0.0143
hpmcounter3,drift,seed10,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter3,drift,seed11,II,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter3,drift,seed12,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,drift,seed13,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,drift,seed14,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter3,drift,seed15,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed16,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter3,drift,seed17,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed18,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter3,drift,seed19,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter3,drift,seed20,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter3,drift,seed1,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter3,drift,seed2,I,11,0,138,140,289,1.0,0.0738,0.1375,0.0
hpmcounter3,drift,seed3,I,19,3,130,137,289,0.8636,0.1275,0.2222,0.0214
hpmcounter3,drift,seed4,I,15,1,134,139,289,0.9375,0.1007,0.1818,0.0071
hpmcounter3,drift,seed5,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter3,drift,seed6,I,15,4,134,136,289,0.7895,0.1007,0.1786,0.0286
hpmcounter3,drift,seed7,I,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter3,drift,seed8,I,20,0,129,140,289,1.0,0.1342,0.2367,0.0
hpmcounter3,drift,seed9,I,7,14,142,126,289,0.3333,0.047,0.0824,0.1
hpmcounter3,drift,seed10,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter3,drift,seed11,I,27,13,122,127,289,0.675,0.1812,0.2857,0.0929
hpmcounter3,drift,seed12,I,20,1,129,139,289,0.9524,0.1342,0.2353,0.0071
hpmcounter3,drift,seed13,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter3,drift,seed14,I,14,3,135,137,289,0.8235,0.094,0.1687,0.0214
hpmcounter3,drift,seed15,I,3,0,146,140,289,1.0,0.0201,0.0395,0.0
hpmcounter3,drift,seed16,I,3,1,146,139,289,0.75,0.0201,0.0392,0.0071
hpmcounter3,drift,seed17,I,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter3,drift,seed18,I,18,1,131,139,289,0.9474,0.1208,0.2143,0.0071
