counter,attack_type,scenario,n_pre_onset_false_alarm,false_alarm_rate,n_post_onset_detected,detection_rate
hpmcounter3,jump,III,0,0.0,14,0.7
hpmcounter3,jump,II,2,0.1,10,0.5
hpmcounter3,jump,I,3,0.15,20,1.0
hpmcounter3,drift,III,0,0.0,8,0.4
hpmcounter3,drift,II,1,0.05,8,0.4
hpmcounter3,drift,I,3,0.15,18,0.9
hpmcounter4,jump,III,0,0.0,14,0.7
hpmcounter4,jump,II,0,0.0,11,0.55
hpmcounter4,jump,I,0,0.0,20,1.0
hpmcounter4,drift,III,0,0.0,6,0.3
hpmcounter4,drift,II,0,0.0,6,0.3
hpmcounter4,drift,I,0,0.0,17,0.85
hpmcounter5,jump,III,0,0.0,16,0.8
hpmcounter5,jump,II,0,0.0,14,0.7
hpmcounter5,jump,I,0,0.0,20,1.0
hpmcounter5,drift,III,0,0.0,5,0.25
hpmcounter5,drift,II,0,0.0,10,0.5
hpmcounter5,drift,I,0,0.0,18,0.9
hpmcounter8,jump,III,0,0.0,16,0.8
hpmcounter8,jump,II,0,0.0,11,0.55
hpmcounter8,jump,I,0,0.0,20,1.0
hpmcounter8,drift,III,0,0.0,6,0.3
hpmcounter8,drift,II,0,0.0,12,0.6
hpmcounter8,drift,I,0,0.0,18,0.9
hpmcounter10,jump,III,0,0.0,14,0.7
hpmcounter10,jump,II,0,0.0,9,0.45
hpmcounter10,jump,I,1,0.05,20,1.0
hpmcounter10,drift,III,0,0.0,7,0.35
hpmcounter10,drift,II,0,0.0,7,0.35
hpmcounter10,drift,I,0,0.0,18,0.9
