percentile,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
1,38,1,2,59,0.974,0.95,0.835,0.986,0.962,0.017,0.003,0.089
2,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
3,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
4,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
5,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
6,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
7,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
8,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
10,40,2,0,58,0.952,1.0,0.912,1.0,0.976,0.033,0.009,0.114
12,40,2,0,58,0.952,1.0,0.912,1.0,0.976,0.033,0.009,0.114
15,40,2,0,58,0.952,1.0,0.912,1.0,0.976,0.033,0.009,0.114
18,40,5,0,55,0.889,1.0,0.912,1.0,0.941,0.083,0.036,0.181
20,40,7,0,53,0.851,1.0,0.912,1.0,0.92,0.117,0.058,0.222
