percentile,TP,FP,FN,TN,precision,recall,recall_ci_lo,recall_ci_hi,f1,false_alarm,fa_ci_lo,fa_ci_hi
80.0,40,5,0,55,0.889,1.0,0.912,1.0,0.941,0.083,0.036,0.181
85.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
88.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
90.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
91.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
92.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
93.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
94.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
95.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
96.0,40,1,0,59,0.976,1.0,0.912,1.0,0.988,0.017,0.003,0.089
97.0,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
98.0,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
99.0,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
99.5,39,1,1,59,0.975,0.975,0.871,0.996,0.975,0.017,0.003,0.089
