metric,counter,mode,n_runs_total,n_runs_with_pre_onset_flag,n_flagged_windows,n_pre_onset_flagged_windows,pct_flags_pre_onset
D_final (W=10),hpmcounter3,normal,20,0,1,0,0.0
D_final (W=10),hpmcounter3,jump,20,10,279,20,7.2
D_final (W=10),hpmcounter3,drift,20,5,130,13,10.0
D_final (W=10),hpmcounter4,normal,20,0,1,0,0.0
D_final (W=10),hpmcounter4,jump,20,0,257,0,0.0
D_final (W=10),hpmcounter4,drift,20,0,100,0,0.0
D_final (W=10),hpmcounter5,normal,20,0,2,0,0.0
D_final (W=10),hpmcounter5,jump,20,1,232,1,0.4
D_final (W=10),hpmcounter5,drift,20,0,93,0,0.0
D_final (W=10),hpmcounter8,normal,20,1,1,1,100.0
D_final (W=10),hpmcounter8,jump,20,1,223,1,0.4
D_final (W=10),hpmcounter8,drift,20,0,89,0,0.0
D_final (W=10),hpmcounter9,normal,20,1,1,1,100.0
D_final (W=10),hpmcounter9,jump,20,19,101,59,58.4
D_final (W=10),hpmcounter9,drift,20,15,98,61,62.2
D_final (W=10),hpmcounter10,normal,20,0,1,0,0.0
D_final (W=10),hpmcounter10,jump,20,0,231,0,0.0
D_final (W=10),hpmcounter10,drift,20,0,105,0,0.0
G_final (W=5),hpmcounter3,normal,20,1,1,1,100.0
G_final (W=5),hpmcounter3,jump,20,6,472,36,7.6
G_final (W=5),hpmcounter3,drift,20,4,170,18,10.6
G_final (W=5),hpmcounter4,normal,20,1,1,1,100.0
G_final (W=5),hpmcounter4,jump,20,1,379,1,0.3
G_final (W=5),hpmcounter4,drift,20,1,105,1,1.0
G_final (W=5),hpmcounter5,normal,20,0,2,0,0.0
G_final (W=5),hpmcounter5,jump,20,0,441,0,0.0
G_final (W=5),hpmcounter5,drift,20,0,143,0,0.0
G_final (W=5),hpmcounter8,normal,20,0,1,0,0.0
G_final (W=5),hpmcounter8,jump,20,0,423,0,0.0
G_final (W=5),hpmcounter8,drift,20,0,130,0,0.0
G_final (W=5),hpmcounter9,normal,20,1,2,2,100.0
G_final (W=5),hpmcounter9,jump,20,13,89,51,57.3
G_final (W=5),hpmcounter9,drift,20,9,70,21,30.0
G_final (W=5),hpmcounter10,normal,20,0,1,0,0.0
G_final (W=5),hpmcounter10,jump,20,0,379,0,0.0
G_final (W=5),hpmcounter10,drift,20,0,107,0,0.0
V_final (W=5),hpmcounter3,normal,20,0,1,0,0.0
V_final (W=5),hpmcounter3,jump,20,7,115,13,11.3
V_final (W=5),hpmcounter3,drift,20,8,116,19,16.4
V_final (W=5),hpmcounter4,normal,20,0,1,0,0.0
V_final (W=5),hpmcounter4,jump,20,0,106,0,0.0
V_final (W=5),hpmcounter4,drift,20,0,95,0,0.0
V_final (W=5),hpmcounter5,normal,20,0,1,0,0.0
V_final (W=5),hpmcounter5,jump,20,1,203,1,0.5
V_final (W=5),hpmcounter5,drift,20,1,124,1,0.8
V_final (W=5),hpmcounter8,normal,20,0,2,0,0.0
V_final (W=5),hpmcounter8,jump,20,1,157,2,1.3
V_final (W=5),hpmcounter8,drift,20,0,119,0,0.0
V_final (W=5),hpmcounter9,normal,20,0,2,0,0.0
V_final (W=5),hpmcounter9,jump,20,14,105,54,51.4
V_final (W=5),hpmcounter9,drift,20,12,78,33,42.3
V_final (W=5),hpmcounter10,normal,20,0,1,0,0.0
V_final (W=5),hpmcounter10,jump,20,3,112,6,5.4
V_final (W=5),hpmcounter10,drift,20,0,98,0,0.0
