window,counter,drift_detected,jump_detected
5,hpmcounter3,3,5
5,hpmcounter4,3,3
5,hpmcounter5,4,6
5,hpmcounter8,3,8
5,hpmcounter10,2,0
7,hpmcounter3,3,2
7,hpmcounter4,3,4
7,hpmcounter5,6,7
7,hpmcounter8,2,18
7,hpmcounter10,3,0
9,hpmcounter3,5,12
9,hpmcounter4,5,13
9,hpmcounter5,7,9
9,hpmcounter8,6,19
9,hpmcounter10,8,16
11,hpmcounter3,4,19
11,hpmcounter4,3,19
11,hpmcounter5,3,20
11,hpmcounter8,5,20
11,hpmcounter10,5,19
13,hpmcounter3,2,19
13,hpmcounter4,0,19
13,hpmcounter5,3,20
13,hpmcounter8,2,20
13,hpmcounter10,2,20
15,hpmcounter3,1,19
15,hpmcounter4,1,19
15,hpmcounter5,4,19
15,hpmcounter8,1,19
15,hpmcounter10,1,19
17,hpmcounter3,2,19
17,hpmcounter4,2,19
17,hpmcounter5,3,19
17,hpmcounter8,1,19
17,hpmcounter10,1,19
19,hpmcounter3,5,18
19,hpmcounter4,5,18
19,hpmcounter5,4,18
19,hpmcounter8,2,18
19,hpmcounter10,3,18
21,hpmcounter3,2,17
21,hpmcounter4,3,17
21,hpmcounter5,4,18
21,hpmcounter8,3,17
21,hpmcounter10,1,17
23,hpmcounter3,2,16
23,hpmcounter4,2,16
23,hpmcounter5,5,17
23,hpmcounter8,2,16
23,hpmcounter10,1,16
25,hpmcounter3,2,13
25,hpmcounter4,2,13
25,hpmcounter5,4,16
25,hpmcounter8,2,13
25,hpmcounter10,0,13
27,hpmcounter3,1,12
27,hpmcounter4,0,12
27,hpmcounter5,3,13
27,hpmcounter8,2,12
27,hpmcounter10,1,12
29,hpmcounter3,1,7
29,hpmcounter4,0,7
29,hpmcounter5,3,10
29,hpmcounter8,2,7
29,hpmcounter10,1,7
