window,counter,mode,detected
5,hpmcounter10,drift,18
5,hpmcounter10,jump,20
5,hpmcounter3,drift,19
5,hpmcounter3,jump,20
5,hpmcounter4,drift,18
5,hpmcounter4,jump,20
5,hpmcounter5,drift,19
5,hpmcounter5,jump,20
5,hpmcounter8,drift,18
5,hpmcounter8,jump,20
5,hpmcounter9,drift,16
5,hpmcounter9,jump,13
10,hpmcounter10,drift,18
10,hpmcounter10,jump,20
10,hpmcounter3,drift,18
10,hpmcounter3,jump,20
10,hpmcounter4,drift,17
10,hpmcounter4,jump,20
10,hpmcounter5,drift,19
10,hpmcounter5,jump,20
10,hpmcounter8,drift,19
10,hpmcounter8,jump,20
10,hpmcounter9,drift,19
10,hpmcounter9,jump,17
20,hpmcounter10,drift,18
20,hpmcounter10,jump,20
20,hpmcounter3,drift,18
20,hpmcounter3,jump,20
20,hpmcounter4,drift,18
20,hpmcounter4,jump,20
20,hpmcounter5,drift,18
20,hpmcounter5,jump,20
20,hpmcounter8,drift,18
20,hpmcounter8,jump,20
20,hpmcounter9,drift,18
20,hpmcounter9,jump,17
30,hpmcounter10,drift,15
30,hpmcounter10,jump,20
30,hpmcounter3,drift,15
30,hpmcounter3,jump,20
30,hpmcounter4,drift,15
30,hpmcounter4,jump,20
30,hpmcounter5,drift,14
30,hpmcounter5,jump,20
30,hpmcounter8,drift,15
30,hpmcounter8,jump,20
30,hpmcounter9,drift,19
30,hpmcounter9,jump,17
50,hpmcounter10,drift,15
50,hpmcounter10,jump,20
50,hpmcounter3,drift,15
50,hpmcounter3,jump,20
50,hpmcounter4,drift,15
50,hpmcounter4,jump,20
50,hpmcounter5,drift,14
50,hpmcounter5,jump,20
50,hpmcounter8,drift,15
50,hpmcounter8,jump,20
50,hpmcounter9,drift,17
50,hpmcounter9,jump,17
