window,counter,mode,detected_pooled,detected_trialmax
5,hpmcounter10,drift,7,1
5,hpmcounter10,jump,19,11
5,hpmcounter3,drift,6,1
5,hpmcounter3,jump,17,12
5,hpmcounter4,drift,6,1
5,hpmcounter4,jump,17,12
5,hpmcounter5,drift,7,1
5,hpmcounter5,jump,19,13
5,hpmcounter8,drift,8,1
5,hpmcounter8,jump,19,11
10,hpmcounter10,drift,6,1
10,hpmcounter10,jump,19,11
10,hpmcounter3,drift,6,1
10,hpmcounter3,jump,18,12
10,hpmcounter4,drift,5,1
10,hpmcounter4,jump,17,12
10,hpmcounter5,drift,6,1
10,hpmcounter5,jump,19,12
10,hpmcounter8,drift,6,1
10,hpmcounter8,jump,19,11
15,hpmcounter10,drift,6,1
15,hpmcounter10,jump,19,11
15,hpmcounter3,drift,6,1
15,hpmcounter3,jump,17,12
15,hpmcounter4,drift,5,1
15,hpmcounter4,jump,17,12
15,hpmcounter5,drift,6,1
15,hpmcounter5,jump,18,12
15,hpmcounter8,drift,6,1
15,hpmcounter8,jump,19,11
20,hpmcounter10,drift,5,1
20,hpmcounter10,jump,19,12
20,hpmcounter3,drift,6,1
20,hpmcounter3,jump,17,12
20,hpmcounter4,drift,5,1
20,hpmcounter4,jump,17,12
20,hpmcounter5,drift,6,1
20,hpmcounter5,jump,18,13
20,hpmcounter8,drift,6,1
20,hpmcounter8,jump,19,12
25,hpmcounter10,drift,5,1
25,hpmcounter10,jump,19,12
25,hpmcounter3,drift,4,1
25,hpmcounter3,jump,17,13
25,hpmcounter4,drift,5,1
25,hpmcounter4,jump,17,13
25,hpmcounter5,drift,5,1
25,hpmcounter5,jump,17,13
25,hpmcounter8,drift,5,1
25,hpmcounter8,jump,19,12
30,hpmcounter10,drift,5,1
30,hpmcounter10,jump,18,13
30,hpmcounter3,drift,4,1
30,hpmcounter3,jump,17,13
30,hpmcounter4,drift,4,1
30,hpmcounter4,jump,17,13
30,hpmcounter5,drift,5,1
30,hpmcounter5,jump,17,13
30,hpmcounter8,drift,5,1
30,hpmcounter8,jump,18,12
