iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11da7c,0x9d8bc,0x80008be8,0x26,0x0,0x681d,0x506f9,0x0,0x25df4,0x21e8,0x13c1
1,0x1353af,0xb4a9c,0x80008be8,0x2361,0xb,0x74ea,0x50701,0x0,0x313b2,0x21ef,0x1588
2,0x14cbd8,0xcbc98,0x80008be8,0x469a,0x16,0x81cc,0x50709,0x0,0x3c977,0x21f2,0x174f
3,0x164396,0xe2e14,0x80008be8,0x69cc,0x21,0x8e80,0x50711,0x0,0x47eea,0x21f5,0x1916
4,0x17bb29,0xf9f61,0x80008be8,0x8d04,0x2c,0x9b11,0x50717,0x0,0x53451,0x21f8,0x1add
5,0x193345,0x111137,0x80008be8,0xb038,0x37,0xa7de,0x5071d,0x0,0x5ea05,0x21fb,0x1ca4
6,0x1aaafe,0x1282ff,0x80008be8,0xd36c,0x42,0xb47d,0x50723,0x0,0x69fd9,0x21fe,0x1e6b
7,0x1c2222,0x13f457,0x80008be8,0xf6a0,0x4d,0xc11f,0x50729,0x0,0x7553a,0x2201,0x2032
8,0x1d9993,0x1565fa,0x80008be8,0x119d4,0x58,0xcdc3,0x5072f,0x0,0x80ae4,0x2204,0x21f9
9,0x1f10f0,0x16d779,0x80008be8,0x13d08,0x63,0xda71,0x50735,0x0,0x8c060,0x2207,0x23c0
10,0x208838,0x1848f9,0x80008be8,0x1603e,0x6e,0xe705,0x5073b,0x0,0x975f7,0x220a,0x2587
11,0x21ffdc,0x19ba81,0x80008be8,0x1837a,0x79,0xf3a5,0x50743,0x0,0xa2b88,0x220d,0x274f
12,0x237757,0x1b2c36,0x80008be8,0x1a6b8,0x84,0x10050,0x5074b,0x0,0xae13b,0x2210,0x2917
13,0x24eeae,0x1c9dc4,0x80008be8,0x1c9f7,0x8f,0x10cfd,0x50753,0x0,0xb96c5,0x2213,0x2adf
14,0x266691,0x1e0fe6,0x80008be8,0x1ed33,0x9a,0x119c8,0x50759,0x0,0xc4cc5,0x2216,0x2ca7
15,0x27de6a,0x1f813e,0x80008be8,0x21077,0xa5,0x12670,0x5075f,0x0,0xd021e,0x2219,0x2e6f
16,0x295668,0x20f314,0x80008be8,0x233be,0xb0,0x1332e,0x50765,0x0,0xdb7df,0x221c,0x3037
17,0x2acea2,0x2264ef,0x80008be8,0x25702,0xbb,0x14007,0x5076b,0x0,0xe6d8a,0x221f,0x31ff
18,0x2c463a,0x23d68f,0x80008be8,0x27a42,0xc6,0x14cc5,0x50771,0x0,0xf2315,0x2222,0x33c7
19,0x2dbe29,0x2548a2,0x80008be8,0x29d82,0xd1,0x1599d,0x50777,0x0,0xfd8f9,0x2225,0x358f
20,0x2f363b,0x26ba54,0x80008be8,0x2c0c5,0xdc,0x16666,0x5077d,0x0,0x108e8b,0x2228,0x3757
21,0x30ae54,0x282bdc,0x80008be8,0x2e406,0xe7,0x1730d,0x50785,0x0,0x114415,0x222b,0x391f
22,0x32265b,0x299d85,0x80008be8,0x30742,0xf2,0x17fd7,0x5078d,0x0,0x11f99d,0x222e,0x3ae7
23,0x339ddc,0x2b0f1e,0x80008be8,0x32a83,0xfd,0x18c88,0x50795,0x0,0x12af2e,0x2231,0x3caf
24,0x35155e,0x2c805d,0x80008be8,0x34dc1,0x108,0x19923,0x5079b,0x0,0x13647b,0x2234,0x3e77
25,0x368d33,0x2df1dd,0x80008be8,0x37101,0x113,0x1a5d1,0x507a1,0x0,0x1419f6,0x2237,0x403f
26,0x380465,0x2f62eb,0x80008be8,0x3943d,0x11e,0x1b27c,0x507a7,0x0,0x14cf02,0x223a,0x4207
27,0x397c24,0x30d47b,0x80008be8,0x3b779,0x129,0x1bf21,0x507ad,0x0,0x158496,0x223d,0x43cf
28,0x3af386,0x3245b2,0x80008be8,0x3dabb,0x134,0x1cbc3,0x507b3,0x0,0x1639d4,0x2240,0x4597
29,0x3c6bc8,0x33b7b1,0x80008be8,0x3fdfd,0x13f,0x1d8a3,0x507b9,0x0,0x16ef9c,0x2243,0x475f
30,0x3de3ce,0x3529bd,0x80008be8,0x42139,0x14a,0x1e57e,0x507bf,0x0,0x17a576,0x2246,0x4927
31,0x3f5b7a,0x369b4a,0x80008be8,0x44475,0x155,0x1f236,0x507c7,0x0,0x185af4,0x2249,0x4aef
32,0x40d2f1,0x380c81,0x80008be8,0x467b3,0x160,0x1fed2,0x507cf,0x0,0x191038,0x224c,0x4cb7
33,0x424a83,0x397dd8,0x80008be8,0x48af2,0x16b,0x20b75,0x507d7,0x0,0x19c595,0x224f,0x4e7f
34,0x43c28f,0x3aefa5,0x80008be8,0x4ae30,0x176,0x21846,0x507dd,0x0,0x1a7b3a,0x2252,0x5047
35,0x453a86,0x3c60f7,0x80008be8,0x4d16f,0x181,0x224f8,0x507e3,0x0,0x1b3083,0x2255,0x520f
36,0x46b1c4,0x3dd21e,0x80008be8,0x4f4b0,0x18c,0x23184,0x507e9,0x0,0x1be5c7,0x2258,0x53d7
37,0x482943,0x3f43cf,0x80008be8,0x517ee,0x197,0x23e46,0x507ef,0x0,0x1c9b5f,0x225b,0x559f
38,0x49a0ac,0x40b51f,0x80008be8,0x53b2c,0x1a2,0x24ae6,0x507f5,0x0,0x1d50b8,0x225e,0x5767
39,0x4b1809,0x422686,0x80008be8,0x55e6a,0x1ad,0x2577d,0x507fb,0x0,0x1e0631,0x2261,0x592f
40,0x4c8fb1,0x439835,0x80008be8,0x581a6,0x1b8,0x2642d,0x50801,0x0,0x1ebbd9,0x2264,0x5af7
41,0x4e07c6,0x450a6a,0x80008be8,0x5a4e4,0x1c3,0x2711d,0x50809,0x0,0x1f71c7,0x2267,0x5cbf
42,0x4f7f29,0x467bee,0x80008be8,0x5c823,0x1ce,0x27db5,0x50811,0x0,0x20275c,0x226a,0x5e87
43,0x50f6d4,0x47edce,0x80008be8,0x5eb61,0x1d9,0x28a8a,0x50819,0x0,0x20dd10,0x226d,0x604f
44,0x526e08,0x495ec7,0x80008be8,0x60ea3,0x1e4,0x29710,0x5081f,0x0,0x21922c,0x2270,0x6217
45,0x53e5d8,0x4ad034,0x80008be8,0x631df,0x1ef,0x2a3b3,0x50825,0x0,0x22479f,0x2273,0x63df
46,0x555d85,0x4c41f6,0x80008be8,0x6551d,0x1fa,0x2b081,0x5082b,0x0,0x22fd3c,0x2276,0x65a7
47,0x56d55c,0x4db3fd,0x80008be8,0x6785b,0x205,0x2bd52,0x50831,0x0,0x23b31b,0x2279,0x676f
48,0x584d47,0x4f2632,0x80008be8,0x69b99,0x210,0x2ca38,0x50837,0x0,0x246913,0x227c,0x6937
49,0x59c522,0x5097c5,0x80008be8,0x6bed5,0x21b,0x2d6f6,0x5083d,0x0,0x251e91,0x227f,0x6aff
50,0x5b3d96,0x520999,0x80008be8,0x6e213,0x226,0x2e3c4,0x50843,0x0,0x25d440,0x2282,0x6cc7
51,0x5cb5ba,0x537b9a,0x80008be8,0x70550,0x231,0x2f082,0x5084b,0x0,0x268a2c,0x2285,0x6e8f
52,0x5e2d3b,0x54ece3,0x80008be8,0x72890,0x23c,0x2fd1d,0x50853,0x0,0x273f83,0x2288,0x7057
53,0x5fa4d5,0x565e9f,0x80008be8,0x74bce,0x247,0x309e1,0x5085b,0x0,0x27f524,0x228b,0x721f
54,0x611cf5,0x57d094,0x80008be8,0x76f0d,0x252,0x316c0,0x50861,0x0,0x28aae3,0x228e,0x73e7
55,0x6294ca,0x594278,0x80008be8,0x79249,0x25d,0x3237c,0x50867,0x0,0x2960b4,0x2291,0x75af
56,0x640c1a,0x5ab465,0x80008be8,0x7b587,0x268,0x33031,0x5086d,0x0,0x2a1695,0x2294,0x7777
57,0x6583f7,0x5c266d,0x80008be8,0x7d8c3,0x273,0x33d05,0x50873,0x0,0x2acc72,0x2297,0x793f
58,0x66fbcb,0x5d983d,0x80008be8,0x7fc04,0x27e,0x349cb,0x50879,0x0,0x2b8225,0x229a,0x7b07
59,0x68734c,0x5f09f0,0x80008be8,0x81f42,0x289,0x35684,0x5087f,0x0,0x2c37c8,0x229d,0x7ccf
60,0x69ea81,0x607b64,0x80008be8,0x84280,0x294,0x3633d,0x50885,0x0,0x2ced2c,0x22a0,0x7e97
61,0x6b621f,0x61ed3e,0x80008be8,0x865be,0x29f,0x37002,0x5088d,0x0,0x2da2ea,0x22a3,0x805f
62,0x6cd9c1,0x635f02,0x80008be8,0x888fc,0x2aa,0x37cba,0x50895,0x0,0x2e589f,0x22a6,0x8227
63,0x6e5162,0x64d095,0x80008be8,0x8ac38,0x2b5,0x38970,0x5089d,0x0,0x2f0e25,0x22a9,0x83ef
64,0x6fc9ad,0x6642ca,0x80008be8,0x8cf74,0x2c0,0x39666,0x508a3,0x0,0x2fc40d,0x22ac,0x85b7
65,0x7140f2,0x67b47b,0x80008be8,0x8f2b1,0x2cb,0x3a31e,0x508a9,0x0,0x3079af,0x22af,0x877f
66,0x72b856,0x6925bb,0x80008be8,0x915ef,0x2d6,0x3afc5,0x508af,0x0,0x312ef1,0x22b2,0x8947
67,0x74306a,0x6a9797,0x80008be8,0x9392f,0x2e1,0x3bc8c,0x508b5,0x0,0x31e4af,0x22b5,0x8b0f
68,0x75a84d,0x6c098e,0x80008be8,0x95c70,0x2ec,0x3c970,0x508bb,0x0,0x329a6b,0x22b8,0x8cd7
69,0x771fb8,0x6d7b9a,0x80008be8,0x97faf,0x2f7,0x3d653,0x508c1,0x0,0x33503d,0x22bb,0x8e9f
70,0x78965e,0x6eec9a,0x80008be8,0x9a2ee,0x302,0x3e2df,0x508c7,0x0,0x34055a,0x22be,0x9067
71,0x7a0dca,0x705e32,0x80008be8,0x9c62a,0x30d,0x3ef93,0x508cf,0x0,0x34bae7,0x22c1,0x922f
72,0x7b8549,0x71cfd7,0x80008be8,0x9e966,0x318,0x3fc56,0x508d7,0x0,0x357072,0x22c4,0x93f7
73,0x7cfc85,0x734113,0x80008be8,0xa0ca6,0x323,0x408f6,0x508df,0x0,0x3625b7,0x22c7,0x95bf
74,0x7e747e,0x74b318,0x80008be8,0xa2fe5,0x32e,0x415d3,0x508e5,0x0,0x36db88,0x22ca,0x9787
75,0x7fec23,0x76248f,0x80008be8,0xa5325,0x339,0x42278,0x508eb,0x0,0x379103,0x22cd,0x994f
76,0x8163d0,0x7795fc,0x80008be8,0xa7666,0x344,0x42f32,0x508f1,0x0,0x38465f,0x22d0,0x9b17
77,0x82daeb,0x790764,0x80008be8,0xa99a3,0x34f,0x43bd3,0x508f7,0x0,0x38fbcf,0x22d3,0x9cdf
78,0x84523d,0x7a78d4,0x80008be8,0xabcde,0x35a,0x4488b,0x508fd,0x0,0x39b130,0x22d6,0x9ea7
