t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
1,0,7.550636,1.578793,1.578793,0,0,63.611138,1,4180483.1498,851787.5868,4725999.4732,4180483.8852,851790.4574,4726000.1391,7.1532,1.000000
2,0,14.883055,3.601996,2.590395,0,0,73.205792,1,4180484.1222,851791.3812,4725996.2464,4180483.1551,851790.3086,4726000.8072,13.5535,1.000000
3,0,14.025345,2.709536,2.630109,0,0,75.173785,1,4180479.6594,851793.0303,4725999.2166,4180482.4250,851790.1598,4726001.4754,8.7591,1.000000
4,0,11.438892,3.401840,2.823042,0,0,71.358176,1,4180483.8244,851794.5477,4725999.9917,4180481.6948,851790.0111,4726002.1435,9.1641,1.000000
5,0,8.153780,1.819234,2.622280,0,0,65.515268,1,4180481.9114,851798.9801,4726000.0905,4180480.9647,851789.8623,4726002.8117,13.2442,1.000000
6,0,18.221735,9.010673,3.687012,0,0,59.581536,1,4180479.3411,851793.9103,4726001.7756,4180480.2346,851789.7135,4726003.4798,6.9793,1.000000
7,0,6.979372,1.375975,3.356864,0,0,54.217664,1,4180479.1555,851791.9588,4726002.6554,4180479.5045,851789.5648,4726004.1480,1.9717,1.000000
8,0,12.759516,1.322331,3.102547,0,0,49.554253,1,4180479.0231,851792.3541,4726007.0654,4180478.7744,851789.4160,4726004.8161,11.5823,1.000000
9,0,12.984290,4.676617,3.277444,0,0,45.544164,1,4180478.6169,851788.6226,4726009.3645,4180478.0442,851789.2672,4726005.4843,11.4204,1.000000
10,0,20.674894,4.777392,3.427439,0,0,42.095053,1,4180475.7149,851788.2368,4726005.4734,4180477.3141,851789.1185,4726006.1525,16.3808,1.000000
11,0,4.359853,0.404564,3.310016,0,0,39.114046,1,4180475.3091,851787.0826,4726006.8039,4180476.5840,851788.9697,4726006.8206,4.4417,1.000000
12,0,19.862150,10.873350,4.037151,0,0,36.520552,1,4180479.0723,851787.1083,4726009.4470,4180475.8539,851788.8209,4726007.4888,18.5286,1.000000
13,0,11.176861,3.548380,4.121035,0,0,34.248163,1,4180476.2712,851786.8151,4726011.2970,4180475.1237,851788.6722,4726008.1569,9.4733,1.000000
14,0,4.960720,0.661405,3.846992,0,0,32.243169,1,4180475.2844,851787.3085,4726011.7692,4180474.3936,851788.5234,4726008.8251,2.1698,1.000000
15,0,13.493680,2.848237,3.949892,0,0,30.462339,1,4180473.3591,851787.8946,4726010.4930,4180473.6635,851788.3746,4726009.4932,9.9595,1.000000
16,0,11.440795,3.521397,3.400965,0,0,28.870804,1,4180474.5884,851787.2598,4726012.3106,4180472.9334,851788.2259,4726010.1614,11.8759,1.000000
17,0,10.339040,1.845350,3.447902,0,0,27.440301,1,4180473.6639,851788.1248,4726011.6793,4180472.2032,851788.0771,4726010.8295,7.6771,1.000000
18,0,12.223053,1.582439,3.473913,0,0,26.147768,1,4180473.6909,851787.8282,4726014.3707,4180471.4731,851787.9283,4726011.4977,13.5985,1.000000
19,0,10.924902,1.060437,3.112295,0,0,24.974256,1,4180473.2663,851787.7905,4726013.4927,4180470.7430,851787.7796,4726012.1658,8.4335,1.000000
20,0,15.236154,2.187774,2.853333,0,0,23.904076,1,4180472.9153,851788.0104,4726016.5425,4180470.0129,851787.6308,4726012.8340,17.0234,1.000000
21,0,5.655559,1.066634,2.919540,0,0,22.924151,1,4180471.5773,851788.2446,4726017.5977,4180469.2828,851787.4820,4726013.5021,6.0867,1.000000
22,0,2.710634,0.093344,1.841540,0,0,22.023498,1,4180470.8331,851788.1531,4726018.1342,4180468.5526,851787.3333,4726014.1703,2.5308,1.000000
23,0,11.409389,2.811872,1.767889,0,0,21.192840,1,4180469.4255,851787.1341,4726017.8950,4180467.8225,851787.1845,4726014.8384,7.0992,1.000000
24,0,10.165539,2.482902,1.950039,0,0,20.424284,1,4180468.9631,851788.0482,4726019.5653,4180467.0924,851787.0357,4726015.5066,12.7000,1.000000
25,0,5.155117,0.735803,1.738795,0,0,19.711080,1,4180468.7875,851788.3151,4726020.7654,4180466.3623,851786.8870,4726016.1747,9.5721,1.000000
26,0,13.260832,1.786897,1.565345,0,0,19.047420,1,4180467.9590,851788.5287,4726023.2232,4180465.6321,851786.7382,4726016.8429,18.1746,1.000000
27,0,14.574104,3.087390,1.689549,0,0,18.428284,1,4180466.8099,851787.7479,4726025.7052,4180464.9020,851786.5895,4726017.5110,19.9728,1.000000
28,0,3.754968,0.499813,1.581287,0,0,17.849306,1,4180466.0680,851788.0885,4726026.7472,4180464.1719,851786.4407,4726018.1792,10.0712,1.000000
29,0,15.692801,6.697974,2.145040,0,0,17.306677,1,4180464.4822,851789.2697,4726028.7563,4180463.4418,851786.2919,4726018.8473,22.2631,1.000000
30,0,9.067736,0.755060,2.001769,0,0,16.797056,1,4180463.7618,851789.3111,4726028.8470,4180462.7116,851786.1432,4726019.5155,4.0681,1.000000
31,0,8.968510,1.934825,2.088588,0,0,16.317501,1,4180462.4280,851788.8313,4726029.2502,4180461.9815,851785.9944,4726020.1836,5.8180,1.000000
32,0,10.207999,1.662454,2.245499,0,0,15.865413,1,4180462.2786,851788.8419,4726029.3522,4180461.2514,851785.8456,4726020.8518,6.6375,1.000000
33,0,8.992364,2.896297,2.253942,0,0,15.438483,1,4180462.2070,851788.0342,4726030.2317,4180460.5213,851785.6969,4726021.5199,11.1005,1.000000
34,0,27.453646,7.666080,2.772259,0,0,15.034658,1,4180461.9452,851787.5369,4726028.5840,4180459.7911,851785.5481,4726022.1881,18.8066,1.000000
35,0,6.944298,1.701258,2.868805,0,0,14.652104,1,4180460.5958,851787.3445,4726029.3266,4180459.0610,851785.3993,4726022.8563,7.0569,1.000000
36,0,11.451988,3.564710,3.046586,0,0,14.289178,1,4180460.5354,851786.5282,4726029.5786,4180458.3309,851785.2506,4726023.5244,9.2268,1.000000
37,0,30.011712,8.405714,3.578418,0,0,13.944402,1,4180459.9706,851786.1836,4726027.7248,4180457.6008,851785.1018,4726024.1926,23.9311,1.000000
38,0,12.401800,4.482842,3.976721,0,0,13.616446,1,4180459.4622,851787.0387,4726029.0348,4180456.8706,851784.9530,4726024.8607,15.8363,1.000000
39,0,8.619339,2.601828,3.567107,0,0,13.304107,1,4180458.1262,851786.5316,4726029.6231,4180456.1405,851784.8043,4726025.5289,5.4968,1.000000
40,0,10.932526,4.124232,3.904024,0,0,13.006297,1,4180458.3975,851786.5234,4726030.1293,4180455.4104,851784.6555,4726026.1970,12.8726,1.000000
41,0,15.510245,2.979649,4.008506,0,0,12.722026,1,4180458.1709,851786.1893,4726032.0842,4180454.6803,851784.5067,4726026.8652,20.1811,1.000000
42,0,8.316996,2.447909,4.087052,0,0,12.450395,1,4180456.9220,851785.6929,4726033.0238,4180453.9501,851784.3580,4726027.5333,8.3266,1.000000
43,0,5.211466,0.814165,3.878839,0,0,12.190583,1,4180456.6117,851785.7078,4726033.6125,4180453.2200,851784.2092,4726028.2015,8.3968,1.000000
44,0,17.871818,8.044351,3.916666,0,0,11.941839,1,4180454.9038,851785.1398,4726033.5037,4180452.4899,851784.0604,4726028.8696,11.5304,1.000000
45,0,9.750859,1.706516,3.917192,0,0,11.703477,1,4180453.7957,851785.1355,4726033.6569,4180451.7598,851783.9117,4726029.5378,5.1915,1.000000
46,0,7.797888,0.680776,3.628798,0,0,11.474866,1,4180453.2503,851784.9162,4726033.8462,4180451.0296,851783.7629,4726030.2059,5.1727,1.000000
47,0,5.249553,0.362302,2.824457,0,0,11.255427,1,4180452.4323,851784.8387,4726034.9364,4180450.2995,851783.6141,4726030.8740,8.8647,1.000000
48,0,18.509435,3.934127,2.769586,0,0,11.044627,1,4180451.3928,851784.4997,4726034.4130,4180449.5694,851783.4654,4726031.5422,13.8924,1.000000
49,0,9.949134,3.062695,2.815672,0,0,10.841972,1,4180451.1689,851784.8133,4726034.7986,4180448.8393,851783.3166,4726032.2103,10.9634,1.000000
50,0,9.087726,3.049721,2.708221,0,0,10.647010,1,4180450.1351,851784.0909,4726035.4410,4180448.1091,851783.1678,4726032.8785,6.8405,1.000000
51,0,10.057552,3.768909,2.787147,0,0,10.459318,1,4180449.3729,851784.6593,4726036.1348,4180447.3790,851783.0191,4726033.5466,11.2307,1.000000
52,0,18.943966,9.714520,3.513808,0,0,10.278507,1,4180448.2558,851783.5118,4726037.6032,4180446.6489,851782.8703,4726034.2148,19.0570,1.000000
53,0,8.840528,2.843439,3.716736,0,0,10.104215,1,4180447.5014,851782.7201,4726038.2249,4180445.9187,851782.7215,4726034.8829,8.3003,1.000000
54,0,21.404557,15.434835,4.455784,1,1,9.936106,1,4180446.1212,851783.7424,4726039.4566,4180445.1886,851782.5728,4726035.5511,22.1972,1.000000
55,0,25.530088,5.073762,4.792509,0,1,50.502765,1,4180446.0696,851782.8725,4726031.8229,4180444.4585,851782.4240,4726036.2192,21.6055,7.281593
56,0,13.504991,2.902654,5.014696,0,1,55.601832,1,4180444.5060,851779.5850,4726036.1932,4180443.7284,851782.2752,4726036.8874,9.8166,1.662946
57,0,17.379228,4.906725,5.469139,0,1,65.393383,1,4180438.7040,851778.5607,4726042.4036,4180442.9982,851782.1265,4726037.5555,16.8435,1.981589
58,0,24.001882,7.217178,5.797444,0,1,72.290412,1,4180443.9888,851777.2112,4726033.4613,4180442.2681,851781.9777,4726038.2237,18.3777,2.025648
59,0,10.772543,2.623637,5.753538,0,1,72.826650,1,4180444.5812,851781.3873,4726031.5974,4180441.5380,851781.8289,4726038.8918,11.6127,1.854512
60,0,8.470525,1.540753,5.602641,0,1,72.669815,1,4180440.7270,851779.7513,4726029.9541,4180440.8079,851781.6802,4726039.5600,12.8672,1.824511
61,0,18.965000,3.914189,5.617169,0,1,79.364645,1,4180438.2345,851783.8834,4726039.1345,4180440.0777,851781.5314,4726040.2281,9.9116,2.160738
62,0,12.538570,4.202500,5.065967,0,1,74.895583,1,4180443.4772,851782.3891,4726039.6770,4180439.3476,851781.3826,4726040.8963,10.3807,1.727704
63,0,15.147764,3.238445,5.105468,0,1,79.503510,1,4180438.1083,851781.3963,4726034.2207,4180438.6175,851781.2339,4726041.5644,14.0333,1.999220
64,0,23.755712,5.245261,4.086510,0,0,83.430650,1,4180432.8099,851783.0253,4726046.2667,4180437.8873,851781.0851,4726042.2326,17.2775,1.971556
65,0,10.910164,3.333573,3.912491,0,0,60.883397,1,4180435.4775,851784.7999,4726046.6215,4180437.1572,851780.9363,4726042.9007,8.2620,1.000000
66,0,8.861445,0.986810,3.720907,0,0,51.286538,1,4180434.0952,851783.6899,4726045.1736,4180436.4271,851780.7876,4726043.5689,5.2032,1.000000
67,0,20.352142,6.438623,3.874097,0,0,46.756783,1,4180432.2907,851780.0846,4726041.1844,4180435.6970,851780.6388,4726044.2370,17.9543,1.000000
68,0,4.188580,0.509200,3.203299,0,0,44.412214,1,4180432.3959,851780.0257,4726041.0035,4180434.9668,851780.4900,4726044.9052,4.8054,1.000000
69,0,14.319913,3.899838,3.330919,0,0,42.936960,1,4180434.4428,851780.0293,4726043.8299,4180434.2367,851780.3413,4726045.5733,9.2638,1.000000
70,0,18.926161,3.836692,3.560513,0,0,41.713983,1,4180435.6525,851778.6154,4726039.6852,4180433.5066,851780.1925,4726046.2414,21.0226,1.000000
71,0,20.575426,3.447413,3.513835,0,0,40.485490,1,4180435.8125,851777.6523,4726044.7362,4180432.7764,851780.0437,4726046.9096,14.0665,1.000000
72,0,12.857913,2.888515,3.382437,0,0,39.174902,1,4180435.2043,851779.1366,4726047.7345,4180432.0463,851779.8950,4726047.5777,9.3008,1.000000
73,0,16.449465,7.428191,3.801412,0,0,37.786741,1,4180431.4309,851779.9641,4726046.8754,4180431.3162,851779.7462,4726048.2459,12.9019,1.000000
74,0,10.206248,1.365668,3.413452,0,0,36.353714,1,4180429.8401,851779.1924,4726049.6341,4180430.5861,851779.5974,4726048.9140,8.8336,1.000000
75,0,19.100066,4.372437,3.517339,0,0,34.911936,1,4180430.3419,851780.2436,4726046.5644,4180429.8559,851779.4487,4726049.5822,17.9048,1.000000
76,0,13.380637,5.723249,3.990983,0,0,33.491385,1,4180428.9521,851777.2544,4726047.5008,4180429.1258,851779.2999,4726050.2503,12.2812,1.000000
77,0,6.374903,0.629733,3.410094,0,0,32.113628,1,4180428.9602,851776.5109,4726049.1267,4180428.3957,851779.1511,4726050.9185,5.4394,1.000000
78,0,10.219370,2.455426,3.604716,0,0,30.792556,1,4180428.4554,851777.7115,4726048.4602,4180427.6655,851779.0024,4726051.5866,9.7052,1.000000
79,0,21.564126,4.680488,3.682781,0,0,29.536010,1,4180426.8540,851776.9403,4726052.9778,4180426.9354,851778.8536,4726052.2548,18.4093,1.000000
80,0,5.848964,1.103208,3.409433,0,0,28.347448,1,4180427.2116,851776.8816,4726054.0709,4180426.2053,851778.7048,4726052.9229,5.9336,1.000000
81,0,4.594421,0.416610,3.106352,0,0,27.227326,1,4180426.5067,851777.1109,4726054.3182,4180425.4752,851778.5561,4726053.5911,2.3897,1.000000
82,0,9.123222,1.478821,2.965383,0,0,26.174142,1,4180425.4005,851776.0091,4726053.8731,4180424.7450,851778.4073,4726054.2592,9.1358,1.000000
83,0,9.228586,2.890501,2.511614,0,0,25.185195,1,4180426.0188,851776.5627,4726054.7534,4180424.0149,851778.2585,4726054.9273,8.7013,1.000000
84,0,5.329263,0.633932,2.438440,0,0,24.257108,1,4180424.9328,851776.6408,4726056.0633,4180423.2848,851778.1098,4726055.5955,3.7064,1.000000
85,0,5.913979,1.122102,2.113407,0,0,23.386177,1,4180423.5534,851776.7966,4726057.1080,4180422.5546,851777.9610,4726056.2636,4.1419,1.000000
86,0,12.264280,2.107629,1.751845,0,0,22.568608,1,4180422.1792,851776.1721,4726056.2540,4180421.8245,851777.8122,4726056.9318,11.3741,1.000000
87,0,24.424999,7.067478,2.395620,0,0,21.800659,1,4180420.6563,851776.8329,4726053.6237,4180421.0944,851777.6635,4726057.5999,24.5988,1.000000
88,0,3.111792,0.231440,2.173221,0,0,21.078736,1,4180419.7901,851776.3395,4726053.8149,4180420.3642,851777.5147,4726058.2681,7.0380,1.000000
89,0,8.823305,1.962546,1.901427,0,0,20.399436,1,4180419.1865,851777.0715,4726055.0038,4180419.6341,851777.3659,4726058.9362,5.7121,1.000000
90,0,3.953016,0.342478,1.825354,0,0,19.759581,1,4180418.4112,851776.5567,4726055.8695,4180418.9040,851777.2172,4726059.6044,3.3957,1.000000
91,0,9.209310,1.479527,1.931645,0,0,19.156217,1,4180418.3153,851776.2236,4726055.4265,4180418.1739,851777.0684,4726060.2725,12.4949,1.000000
92,0,11.925248,2.967716,2.080535,0,0,18.586622,1,4180416.8033,851775.4684,4726054.8069,4180417.4437,851776.9196,4726060.9406,16.2406,1.000000
93,0,8.043775,1.879609,1.979446,0,0,18.048288,1,4180416.7981,851775.6582,4726055.7058,4180416.7136,851776.7709,4726061.6088,6.2438,1.000000
94,0,15.584513,3.687563,2.284809,0,0,17.538917,1,4180416.9304,851775.2212,4726057.7370,4180415.9835,851776.6221,4726062.2769,10.9899,1.000000
95,0,12.913035,2.801771,2.452776,0,0,17.056402,1,4180416.6014,851774.3064,4726057.0223,4180415.2533,851776.4733,4726062.9451,17.8390,1.000000
96,0,21.150758,6.265443,2.868557,0,0,16.598815,1,4180415.2749,851774.8228,4726059.5841,4180414.5232,851776.3246,4726063.6132,14.4930,1.000000
97,0,9.717146,3.406431,2.502452,0,0,16.164389,1,4180413.8405,851775.3512,4726060.1670,4180413.7931,851776.1758,4726064.2814,8.9348,1.000000
98,0,2.952530,0.288763,2.508185,0,0,15.751510,1,4180412.9088,851774.9754,4726060.8203,4180413.0629,851776.0270,4726064.9495,4.6863,1.000000
99,0,12.695097,4.055891,2.717519,0,0,15.358699,1,4180411.2679,851774.3870,4726060.5481,4180412.3328,851775.8783,4726065.6176,16.1369,1.000000
100,0,34.851897,15.311155,4.214387,1,0,14.984599,1,4180410.8647,851775.3823,4726064.3100,4180411.6027,851775.7295,4726066.2858,29.3494,1.000000
101,0,8.560911,2.552599,4.321694,0,0,14.627968,1,4180410.0318,851774.4201,4726064.7612,4180410.8725,851775.5807,4726066.9539,9.6683,1.000000
102,0,14.182457,5.624578,4.587380,0,1,14.287665,1,4180408.9165,851775.2914,4726066.1576,4180410.1424,851775.4320,4726067.6221,12.3690,1.000000
103,0,8.684506,1.124913,4.511911,0,1,66.368964,1,4180407.0981,851777.2733,4726069.8382,4180409.4123,851775.2832,4726068.2902,7.9928,7.717824
104,0,8.469809,1.691824,4.312337,0,0,60.674574,1,4180403.9780,851775.2905,4726068.9871,4180408.6821,851775.1344,4726068.9584,8.8786,1.424090
105,0,6.075038,0.854586,4.117618,0,0,45.504445,1,4180404.5919,851775.2965,4726068.6624,4180407.9520,851774.9857,4726069.6265,3.4555,1.000000
106,0,9.718710,1.482480,3.639322,0,0,36.915938,1,4180404.8409,851774.3586,4726067.3860,4180407.2219,851774.8369,4726070.2946,9.4797,1.000000
107,0,12.636509,3.946555,3.693334,0,0,31.410061,1,4180406.1397,851774.6732,4726069.5376,4180406.4917,851774.6881,4726070.9628,8.9387,1.000000
108,0,12.296862,2.770141,3.941472,0,0,27.597459,1,4180404.0152,851774.3751,4726071.9745,4180405.7616,851774.5394,4726071.6309,11.4627,1.000000
109,0,8.508158,2.005818,3.736465,0,0,24.815676,1,4180402.4703,851775.1568,4726072.0087,4180405.0315,851774.3906,4726072.2991,9.3262,1.000000
110,0,5.438693,0.874675,2.292817,0,0,22.708042,1,4180402.3736,851774.8187,4726073.0935,4180404.3014,851774.2418,4726072.9672,3.0449,1.000000
111,0,17.590831,4.571988,2.494756,0,0,21.065000,1,4180402.7244,851774.3267,4726075.9851,4180403.5712,851774.0931,4726073.6354,16.8822,1.000000
112,0,7.397749,1.370539,2.069352,0,0,19.755021,1,4180401.5924,851773.5452,4726077.4058,4180402.8411,851773.9443,4726074.3035,9.3566,1.000000
113,0,7.224627,0.960644,2.052925,0,0,18.691159,1,4180400.3401,851773.2059,4726078.9655,4180402.1110,851773.7955,4726074.9716,10.6827,1.000000
