iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11d9f2,0x9d86c,0x80008be8,0x26,0x0,0x681c,0x506fc,0x0,0x25df4,0x21e7,0x13c0
1,0x1352e7,0xb4a37,0x80008be8,0x235d,0xb,0x74d8,0x50704,0x0,0x313ae,0x21ee,0x1587
2,0x14cb32,0xcbc3a,0x80008be8,0x4693,0x16,0x81ae,0x5070c,0x0,0x3c986,0x21f1,0x174e
3,0x1642cf,0xe2de0,0x80008be8,0x69c5,0x21,0x8e5b,0x50714,0x0,0x47f2a,0x21f4,0x1915
4,0x17baed,0xf9f7c,0x80008be8,0x8cf9,0x2c,0x9b03,0x5071a,0x0,0x534c9,0x21f7,0x1adc
5,0x193331,0x1111d1,0x80008be8,0xb030,0x37,0xa7e8,0x50720,0x0,0x5eae4,0x21fa,0x1ca3
6,0x1aab4d,0x1283ae,0x80008be8,0xd366,0x42,0xb4a5,0x50726,0x0,0x6a0af,0x21fd,0x1e6a
7,0x1c22d3,0x13f533,0x80008be8,0xf69e,0x4d,0xc150,0x5072c,0x0,0x75634,0x2200,0x2031
8,0x1d9a1c,0x1566bf,0x80008be8,0x119d6,0x58,0xcdf0,0x50732,0x0,0x80bcb,0x2203,0x21f8
9,0x1f11a1,0x16d85d,0x80008be8,0x13d0a,0x63,0xdaaf,0x50738,0x0,0x8c155,0x2206,0x23bf
10,0x20892c,0x18499d,0x80008be8,0x1603e,0x6e,0xe746,0x5073e,0x0,0x976a9,0x2209,0x2586
11,0x220035,0x19bb2f,0x80008be8,0x1837c,0x79,0xf3f1,0x50746,0x0,0xa2c39,0x220c,0x274e
12,0x237802,0x1b2cf2,0x80008be8,0x1a6bc,0x84,0x1009c,0x5074e,0x0,0xae1fa,0x220f,0x2916
13,0x24ef2d,0x1c9e41,0x80008be8,0x1c9f8,0x8f,0x10d37,0x50756,0x0,0xb9757,0x2212,0x2ade
14,0x266732,0x1e102a,0x80008be8,0x1ed35,0x9a,0x119f5,0x5075c,0x0,0xc4d2b,0x2215,0x2ca6
15,0x27dee6,0x1f8167,0x80008be8,0x21073,0xa5,0x1268e,0x50762,0x0,0xd0278,0x2218,0x2e6e
16,0x295665,0x20f2de,0x80008be8,0x233ad,0xb0,0x13333,0x50768,0x0,0xdb7f3,0x221b,0x3036
17,0x2aceb1,0x2264b5,0x80008be8,0x256ea,0xbb,0x14001,0x5076e,0x0,0xe6da5,0x221e,0x31fe
18,0x2c4644,0x23d630,0x80008be8,0x27a26,0xc6,0x14cbb,0x50774,0x0,0xf230f,0x2221,0x33c6
19,0x2dbeb7,0x25483c,0x80008be8,0x29d64,0xd1,0x15997,0x5077a,0x0,0xfd8e8,0x2224,0x358e
20,0x2f36e3,0x26b9f0,0x80008be8,0x2c0a2,0xdc,0x16669,0x50780,0x0,0x108e73,0x2227,0x3756
21,0x30af05,0x282ba9,0x80008be8,0x2e3df,0xe7,0x17327,0x50788,0x0,0x114417,0x222a,0x391e
22,0x3226a6,0x299d43,0x80008be8,0x30719,0xf2,0x17fef,0x50790,0x0,0x11f992,0x222d,0x3ae6
23,0x339e2a,0x2b0ec8,0x80008be8,0x32a53,0xfd,0x18c8a,0x50798,0x0,0x12af25,0x2230,0x3cae
24,0x3515b6,0x2c8035,0x80008be8,0x34d91,0x108,0x19927,0x5079e,0x0,0x13649e,0x2233,0x3e76
25,0x368ce6,0x2df17b,0x80008be8,0x370cf,0x113,0x1a5c5,0x507a4,0x0,0x1419ef,0x2236,0x403e
26,0x38040e,0x2f62d2,0x80008be8,0x3940b,0x11e,0x1b270,0x507aa,0x0,0x14cf44,0x2239,0x4206
27,0x397b55,0x30d453,0x80008be8,0x3b74b,0x129,0x1bf07,0x507b0,0x0,0x1584d7,0x223c,0x43ce
28,0x3af2a9,0x3245ad,0x80008be8,0x3da8c,0x134,0x1cba8,0x507b6,0x0,0x163a39,0x223f,0x4596
29,0x3c6aad,0x33b76c,0x80008be8,0x3fdcb,0x13f,0x1d864,0x507bc,0x0,0x16efe5,0x2242,0x475e
30,0x3de2f7,0x3529bd,0x80008be8,0x42107,0x14a,0x1e53a,0x507c2,0x0,0x17a609,0x2245,0x4926
31,0x3f5a91,0x369b12,0x80008be8,0x44445,0x155,0x1f1dc,0x507ca,0x0,0x185b65,0x2248,0x4aee
32,0x40d263,0x380c1e,0x80008be8,0x46787,0x160,0x1fe73,0x507d2,0x0,0x191083,0x224b,0x4cb6
33,0x42614f,0x3985ff,0x80008be8,0x49a70,0x175,0x20c62,0x507da,0x0,0x19daca,0x224e,0x4eb5
34,0x43d93c,0x3af7bd,0x80008be8,0x4bdaf,0x180,0x2191f,0x507e0,0x0,0x1a9074,0x2251,0x507d
35,0x45676f,0x3c716e,0x80008be8,0x4f091,0x195,0x2270f,0x507e6,0x0,0x1b5a8a,0x2254,0x527c
36,0x46f4ca,0x3dea6f,0x80008be8,0x52375,0x1aa,0x234cf,0x507ec,0x0,0x1c2420,0x2257,0x547b
37,0x486c5b,0x3f5bdd,0x80008be8,0x546b2,0x1b5,0x24161,0x507f2,0x0,0x1cd9a5,0x225a,0x5643
38,0x49e47d,0x40cdad,0x80008be8,0x569f4,0x1c0,0x24e3c,0x507f8,0x0,0x1d8f43,0x225d,0x580b
39,0x4b5cba,0x423f3e,0x80008be8,0x58d34,0x1cb,0x25b05,0x507fe,0x0,0x1e44b4,0x2260,0x59d3
40,0x4ceade,0x43b907,0x80008be8,0x5c016,0x1e0,0x26908,0x50804,0x0,0x1f0ecf,0x2263,0x5bd2
41,0x4e78a6,0x453269,0x80008be8,0x5f2f4,0x1f5,0x276ee,0x5080c,0x0,0x1fd8a0,0x2266,0x5dd1
42,0x5005b0,0x46ab40,0x80008be8,0x6258a,0x20a,0x284af,0x50814,0x0,0x20a254,0x2269,0x5fcf
43,0x517cfd,0x481d13,0x80008be8,0x648c8,0x215,0x29168,0x5081c,0x0,0x215817,0x226c,0x6197
44,0x52f55a,0x498f39,0x80008be8,0x66c06,0x220,0x29e49,0x50822,0x0,0x220e05,0x226f,0x635f
45,0x5482ec,0x4b0838,0x80008be8,0x69ee5,0x235,0x2ac14,0x50828,0x0,0x22d78e,0x2272,0x655e
46,0x56100a,0x4c818c,0x80008be8,0x6d1c3,0x24a,0x2b9ee,0x5082e,0x0,0x23a15d,0x2275,0x675d
47,0x579da6,0x4dfaee,0x80008be8,0x7049f,0x25f,0x2c7d0,0x50834,0x0,0x246b32,0x2278,0x695c
48,0x5915a4,0x4f6cdd,0x80008be8,0x727dd,0x26a,0x2d49f,0x5083a,0x0,0x2520fb,0x227b,0x6b24
49,0x5a8d77,0x50de4c,0x80008be8,0x74b18,0x275,0x2e14d,0x50840,0x0,0x25d665,0x227e,0x6cec
50,0x5c050f,0x524fe0,0x80008be8,0x76e54,0x280,0x2ee01,0x50846,0x0,0x268bee,0x2281,0x6eb4
51,0x5d92df,0x53c92c,0x80008be8,0x7a139,0x295,0x2fbd1,0x5084e,0x0,0x2755bf,0x2284,0x70b3
52,0x5f20e1,0x5542ce,0x80008be8,0x7d418,0x2aa,0x309bd,0x50856,0x0,0x281fca,0x2287,0x72b2
53,0x60aea1,0x56bbee,0x80008be8,0x806f9,0x2bf,0x31799,0x5085e,0x0,0x28e963,0x228a,0x74b1
54,0x62262a,0x582d7a,0x80008be8,0x82a35,0x2ca,0x3243b,0x50864,0x0,0x299ef6,0x228d,0x7679
55,0x639e1d,0x599f68,0x80008be8,0x84d73,0x2d5,0x33109,0x5086a,0x0,0x2a54bf,0x2290,0x7841
56,0x651593,0x5b10ad,0x80008be8,0x870af,0x2e0,0x33d9c,0x50870,0x0,0x2b0a1a,0x2293,0x7a09
57,0x668d56,0x5c82d6,0x80008be8,0x893ee,0x2eb,0x34a5d,0x50876,0x0,0x2bc02b,0x2296,0x7bd1
58,0x6804b7,0x5df457,0x80008be8,0x8b72a,0x2f6,0x356f9,0x5087c,0x0,0x2c75b9,0x2299,0x7d99
59,0x697ccd,0x5f6684,0x80008be8,0x8da64,0x301,0x363db,0x50882,0x0,0x2d2bad,0x229c,0x7f61
60,0x6af48a,0x60d815,0x80008be8,0x8fda5,0x30c,0x3707b,0x50888,0x0,0x2de147,0x229f,0x8129
61,0x6c6c76,0x6249cf,0x80008be8,0x920e1,0x317,0x37d41,0x50890,0x0,0x2e96e4,0x22a2,0x82f1
