iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11da4e,0x9d8a8,0x80008be8,0x26,0x0,0x681d,0x506fb,0x0,0x25e0c,0x21e9,0x13c2
1,0x135308,0xb4a73,0x80008be8,0x235d,0xb,0x74d9,0x50703,0x0,0x313c6,0x21f0,0x1589
2,0x14caf2,0xcbc76,0x80008be8,0x4691,0x16,0x81af,0x5070b,0x0,0x3c99e,0x21f3,0x1750
3,0x1642ae,0xe2e1c,0x80008be8,0x69c5,0x21,0x8e5c,0x50713,0x0,0x47f42,0x21f6,0x1917
4,0x17ba80,0xf9fb8,0x80008be8,0x8cff,0x2c,0x9b04,0x50719,0x0,0x534e1,0x21f9,0x1ade
5,0x1932cf,0x11120d,0x80008be8,0xb035,0x37,0xa7e9,0x5071f,0x0,0x5eafc,0x21fc,0x1ca5
6,0x1aaa11,0x1283ea,0x80008be8,0xd367,0x42,0xb4a6,0x50725,0x0,0x6a0c7,0x21ff,0x1e6c
7,0x1c216d,0x13f56f,0x80008be8,0xf6a0,0x4d,0xc151,0x5072b,0x0,0x7564c,0x2202,0x2033
8,0x1d9865,0x1566fb,0x80008be8,0x119d4,0x58,0xcdf1,0x50731,0x0,0x80be3,0x2205,0x21fa
9,0x1f0f4d,0x16d899,0x80008be8,0x13d08,0x63,0xdab0,0x50737,0x0,0x8c16d,0x2208,0x23c1
10,0x208668,0x1849d9,0x80008be8,0x1603e,0x6e,0xe747,0x5073d,0x0,0x976c1,0x220b,0x2588
11,0x21fda7,0x19bb6b,0x80008be8,0x1837b,0x79,0xf3f2,0x50745,0x0,0xa2c51,0x220e,0x2750
12,0x23750f,0x1b2d2e,0x80008be8,0x1a6b9,0x84,0x1009d,0x5074d,0x0,0xae212,0x2211,0x2918
13,0x24ebed,0x1c9e7d,0x80008be8,0x1c9f8,0x8f,0x10d38,0x50755,0x0,0xb976f,0x2214,0x2ae0
