iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11b7da,0x9c6f6,0x80008a5e,0x25,0x0,0x18e,0x4f8e1,0x43fa,0x25e3f,0x21e5,0x0
1,0x132f11,0xb2a5e,0x80008a5e,0x30d7,0xc,0x251,0x4f8e9,0x90c9,0x31a2e,0x21ea,0x0
2,0x14a9a1,0xc90c3,0x80008a5e,0x62ac,0x21,0x31d,0x4f8f1,0xde35,0x3d7d4,0x21ee,0x0
3,0x1625de,0xdf89f,0x80008a5e,0x9496,0x36,0x3da,0x4f8f9,0x12c14,0x4965f,0x21f1,0x0
4,0x17a42f,0xf62f8,0x80008a5e,0xc698,0x4b,0x488,0x4f8ff,0x17a62,0x55695,0x21f4,0x0
5,0x1924c7,0x10cfc7,0x80008a5e,0xf8ba,0x60,0x543,0x4f905,0x1c91b,0x61868,0x21f7,0x0
6,0x1aa71c,0x123e64,0x80008a5e,0x12af4,0x75,0x5ee,0x4f90b,0x2183f,0x6db49,0x21fa,0x0
7,0x1c2bde,0x13af85,0x80008a5e,0x15d45,0x8a,0x69e,0x4f911,0x267ce,0x79fec,0x21fd,0x0
8,0x1db28a,0x1522bd,0x80008a5e,0x18fb3,0x9f,0x752,0x4f917,0x2b7c9,0x865eb,0x2200,0x0
9,0x1f3b86,0x16977e,0x80008a5e,0x1c23e,0xb4,0x811,0x4f91d,0x30836,0x92cca,0x2203,0x0
10,0x20c68b,0x180eb2,0x80008a5e,0x1f4e7,0xc9,0x8c9,0x4f923,0x3590e,0x9f53a,0x2206,0x0
11,0x2253b8,0x1987cc,0x80008a5e,0x227ac,0xde,0x97a,0x4f92b,0x3aa56,0xabee6,0x220a,0x0
12,0x23e122,0x1b014d,0x80008a5e,0x25a73,0xf3,0xa37,0x4f933,0x3fba8,0xb88df,0x220d,0x0
13,0x256e3a,0x1c7a84,0x80008a5e,0x28d35,0x108,0xaed,0x4f93b,0x44cf0,0xc5297,0x2210,0x0
14,0x26fb5c,0x1df380,0x80008a5e,0x2bffb,0x11d,0xb9b,0x4f941,0x49e41,0xd1c3c,0x2213,0x0
15,0x288889,0x1f6d0a,0x80008a5e,0x2f2c0,0x132,0xc3d,0x4f947,0x4ef90,0xde646,0x2217,0x0
16,0x2a15c8,0x20e692,0x80008a5e,0x3258a,0x147,0xcf5,0x4f94d,0x540dd,0xeb039,0x221b,0x0
17,0x2ba32a,0x225fd5,0x80008a5e,0x3584f,0x15c,0xdae,0x4f953,0x59226,0xf7a09,0x221f,0x0
18,0x2d303a,0x23d927,0x80008a5e,0x38b12,0x171,0xe5e,0x4f959,0x5e374,0x1043f4,0x2222,0x0
19,0x2ebd45,0x25526f,0x80008a5e,0x3bdd7,0x186,0xf11,0x4f95f,0x634c2,0x110da2,0x2225,0x0
20,0x304a25,0x26cbe2,0x80008a5e,0x3f09b,0x19b,0xfca,0x4f965,0x6860e,0x11d777,0x2228,0x0
21,0x31d729,0x28456d,0x80008a5e,0x42363,0x1b0,0x1079,0x4f96d,0x6d75d,0x12a171,0x222b,0x0
22,0x3363b2,0x29be5b,0x80008a5e,0x4562b,0x1c5,0x1119,0x4f975,0x728a8,0x136b0f,0x222e,0x0
23,0x34f06f,0x2b371c,0x80008a5e,0x488f3,0x1da,0x11bc,0x4f97d,0x779f5,0x143485,0x2231,0x0
24,0x367d94,0x2cb0f1,0x80008a5e,0x4bbb9,0x1ef,0x1267,0x4f983,0x7cb43,0x14feae,0x2234,0x0
25,0x380a74,0x2e2a16,0x80008a5e,0x4ee87,0x204,0x131c,0x4f989,0x81c8c,0x15c86f,0x2237,0x0
26,0x39979d,0x2fa380,0x80008a5e,0x52155,0x219,0x13cb,0x4f98f,0x86dd3,0x169253,0x223a,0x0
27,0x3b2479,0x311ce8,0x80008a5e,0x55427,0x22e,0x1475,0x4f995,0x8bf1e,0x175c2b,0x223d,0x0
28,0x3cb11c,0x3295a8,0x80008a5e,0x586f3,0x243,0x1519,0x4f99b,0x9106f,0x1825a0,0x2240,0x0
29,0x3e3e33,0x340f28,0x80008a5e,0x5b9bc,0x258,0x15c8,0x4f9a1,0x961c5,0x18ef96,0x2243,0x0
30,0x3fcb3e,0x35882f,0x80008a5e,0x5ec85,0x26d,0x1682,0x4f9a7,0x9b317,0x19b932,0x2246,0x0
31,0x41585c,0x37012a,0x80008a5e,0x61f4c,0x282,0x1741,0x4f9af,0xa045f,0x1a82c1,0x2249,0x0
32,0x42e572,0x387a39,0x80008a5e,0x65218,0x297,0x17f2,0x4f9b7,0xa55a8,0x1b4c7c,0x224c,0x0
33,0x447250,0x39f38f,0x80008a5e,0x684e4,0x2ac,0x18a4,0x4f9bf,0xaa6ed,0x1c1647,0x224f,0x0
34,0x45ff56,0x3b6d39,0x80008a5e,0x6b7a7,0x2c1,0x1952,0x4f9c5,0xaf835,0x1ce050,0x2252,0x0
35,0x478bf1,0x3ce663,0x80008a5e,0x6ea71,0x2d6,0x19f6,0x4f9cb,0xb497e,0x1da9ff,0x2255,0x0
36,0x49187d,0x3e5fbf,0x80008a5e,0x71d39,0x2eb,0x1a9a,0x4f9d1,0xb9ac4,0x1e73ca,0x2258,0x0
