iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11ba28,0x9c6ce,0x80008be8,0x26,0x0,0x195,0x4f835,0x43e6,0x25e03,0x21e7,0x0
1,0x13358c,0xb38cb,0x80008be8,0x236f,0xb,0x2c2,0x4f83d,0xa4e7,0x313e6,0x21ee,0x0
2,0x14af33,0xcaad7,0x80008be8,0x46ae,0x16,0x3af,0x4f845,0x105b8,0x3c9c1,0x21f1,0x0
3,0x1627ce,0xe1c36,0x80008be8,0x69e9,0x21,0x489,0x4f84d,0x16686,0x47f20,0x21f4,0x0
4,0x17a00d,0xf8dee,0x80008be8,0x8d28,0x2c,0x544,0x4f853,0x1c74c,0x534c9,0x21f7,0x0
5,0x191822,0x10fff8,0x80008be8,0xb060,0x37,0x603,0x4f859,0x2280c,0x5eaae,0x21fa,0x0
6,0x1a8ffe,0x1271d9,0x80008be8,0xd396,0x42,0x6b9,0x4f85f,0x288cf,0x6a081,0x21fd,0x0
7,0x1c06d9,0x13e348,0x80008be8,0xf6ca,0x4d,0x74f,0x4f865,0x2e98e,0x755f5,0x2200,0x0
8,0x1d7e31,0x155507,0x80008be8,0x119fe,0x58,0x7f7,0x4f86b,0x34a4b,0x80bb3,0x2203,0x0
9,0x1ef55c,0x16c648,0x80008be8,0x13d35,0x63,0x89d,0x4f871,0x3ab13,0x8c0fc,0x2206,0x0
10,0x206d4b,0x1837d5,0x80008be8,0x1606c,0x6e,0x962,0x4f877,0x40bd2,0x9768e,0x2209,0x0
11,0x21e493,0x19a91d,0x80008be8,0x183a6,0x79,0xa13,0x4f87f,0x46c97,0xa2beb,0x220c,0x0
12,0x235c42,0x1b1af7,0x80008be8,0x1a6e2,0x84,0xac8,0x4f887,0x4cd54,0xae1be,0x220f,0x0
13,0x24d394,0x1c8c83,0x80008be8,0x1ca20,0x8f,0xb73,0x4f88f,0x52e19,0xb973a,0x2212,0x0
14,0x264b5d,0x1dfe7e,0x80008be8,0x1ed5d,0x9a,0xc23,0x4f895,0x58ee2,0xc4d28,0x2215,0x0
15,0x27c2a4,0x1f6fdb,0x80008be8,0x2109c,0xa5,0xccf,0x4f89b,0x5efa1,0xd028e,0x2218,0x0
16,0x2939fa,0x20e138,0x80008be8,0x233da,0xb0,0xd79,0x4f8a1,0x65064,0xdb7f3,0x221b,0x0
17,0x2ab1f7,0x2252f0,0x80008be8,0x2571c,0xbb,0xe29,0x4f8a7,0x6b126,0xe6d90,0x221e,0x0
18,0x2c29a2,0x23c4c5,0x80008be8,0x27a5a,0xc6,0xed4,0x4f8ad,0x711ea,0xf2340,0x2221,0x0
19,0x2da1a6,0x2536fa,0x80008be8,0x29d96,0xd1,0xf86,0x4f8b3,0x772a2,0xfd926,0x2224,0x0
20,0x2f1959,0x26a8d6,0x80008be8,0x2c0d4,0xdc,0x1034,0x4f8b9,0x7d35f,0x108ecf,0x2227,0x0
21,0x309153,0x281aa8,0x80008be8,0x2e416,0xe7,0x10eb,0x4f8c1,0x83420,0x11447e,0x222a,0x0
22,0x32088e,0x298bf2,0x80008be8,0x30752,0xf2,0x1187,0x4f8c9,0x894e3,0x11f9c0,0x222d,0x0
23,0x337f7e,0x2afd54,0x80008be8,0x32a8f,0xfd,0x1221,0x4f8d1,0x8f5a0,0x12af35,0x2230,0x0
24,0x34f6b1,0x2c6ecb,0x80008be8,0x34dcd,0x108,0x12cd,0x4f8d7,0x95661,0x1364b2,0x2233,0x0
