iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11b9ca,0x9c57a,0x80008aa2,0x26,0x0,0x17e,0x4f7a1,0x43f9,0x25daf,0x21de,0x0
1,0x13a704,0xb9f23,0x80008aa2,0x3a1e,0xc,0x252,0x4f7a9,0xb383,0x35133,0x21e6,0x0
2,0x1597aa,0xd7bc9,0x80008aa2,0x7539,0x21,0x310,0x4f7b1,0x123a9,0x4466e,0x21e9,0x0
3,0x1789a2,0xf59e6,0x80008aa2,0xb071,0x36,0x3cb,0x4f7b9,0x1943b,0x53c8e,0x21ec,0x0
4,0x197e0b,0x113a80,0x80008aa2,0xebc2,0x4b,0x488,0x4f7bf,0x20541,0x63459,0x21ef,0x0
5,0x1b74b1,0x131d90,0x80008aa2,0x1272d,0x60,0x545,0x4f7c5,0x276af,0x72dc1,0x21f2,0x0
6,0x1d6d3a,0x15029a,0x80008aa2,0x162b0,0x75,0x5ff,0x4f7cb,0x2e890,0x82876,0x21f5,0x0
7,0x1f676c,0x16e956,0x80008aa2,0x19e51,0x8a,0x6a8,0x4f7d1,0x35adc,0x9242d,0x21f8,0x0
8,0x2163c5,0x18d286,0x80008aa2,0x1da0f,0x9f,0x74f,0x4f7d7,0x3cd95,0xa218f,0x21fb,0x0
9,0x23620f,0x1abd5c,0x80008aa2,0x215e8,0xb4,0x802,0x4f7dd,0x440b6,0xb1fdd,0x21fe,0x0
10,0x2562b3,0x1caaa2,0x80008aa2,0x251da,0xc9,0x8b8,0x4f7e3,0x4b448,0xc1fd5,0x2201,0x0
11,0x27655b,0x1e99c7,0x80008aa2,0x28def,0xde,0x964,0x4f7eb,0x52847,0xd20f9,0x2204,0x0
12,0x29686c,0x20897e,0x80008aa2,0x2ca02,0xf3,0xa1c,0x4f7f3,0x59c46,0xe2293,0x2207,0x0
13,0x2b6b23,0x2278e7,0x80008aa2,0x30619,0x108,0xad0,0x4f7fb,0x61047,0xf23d6,0x220a,0x0
14,0x2d6e14,0x2468bf,0x80008aa2,0x34234,0x11d,0xb8b,0x4f801,0x68446,0x10258b,0x220d,0x0
15,0x2f70e3,0x2657f9,0x80008aa2,0x37e4d,0x132,0xc47,0x4f807,0x6f845,0x1126b8,0x2210,0x0
16,0x3173a8,0x284734,0x80008aa2,0x3ba64,0x147,0xcf2,0x4f80d,0x76c43,0x1227e6,0x2214,0x0
17,0x3376a2,0x2a36ca,0x80008aa2,0x3f67b,0x15c,0xda3,0x4f813,0x7e041,0x13294c,0x2217,0x0
18,0x357a29,0x2c267d,0x80008aa2,0x43292,0x171,0xe63,0x4f819,0x85443,0x142ac5,0x221a,0x0
19,0x377d85,0x2e1690,0x80008aa2,0x46ea6,0x186,0xf1a,0x4f81f,0x8c842,0x152c74,0x221d,0x0
20,0x3980ec,0x30064a,0x80008aa2,0x4aabb,0x19b,0xfdd,0x4f825,0x93c47,0x162de6,0x2220,0x0
21,0x3b8421,0x31f5fa,0x80008aa2,0x4e6d0,0x1b0,0x109f,0x4f82d,0x9b048,0x172f5e,0x2223,0x0
22,0x3d8708,0x33e522,0x80008aa2,0x522e8,0x1c5,0x1151,0x4f835,0xa244a,0x183069,0x2226,0x0
23,0x3f8a06,0x35d462,0x80008aa2,0x55f02,0x1da,0x1201,0x4f83d,0xa984d,0x1931a7,0x2229,0x0
24,0x418cc3,0x37c3b7,0x80008aa2,0x59b1e,0x1ef,0x12bd,0x4f843,0xb0c4f,0x1a32ed,0x222c,0x0
25,0x438f56,0x39b2ff,0x80008aa2,0x5d738,0x204,0x136f,0x4f849,0xb8050,0x1b3434,0x222f,0x0
26,0x459231,0x3ba24a,0x80008aa2,0x61352,0x219,0x1425,0x4f84f,0xbf455,0x1c3550,0x2232,0x0
27,0x4794a6,0x3d918c,0x80008aa2,0x64f6a,0x22e,0x14ce,0x4f855,0xc6856,0x1d3692,0x2235,0x0
28,0x499730,0x3f80a6,0x80008aa2,0x68b82,0x243,0x1581,0x4f85b,0xcdc54,0x1e37a4,0x2238,0x0
29,0x4b99e9,0x41703b,0x80008aa2,0x6c79c,0x258,0x162f,0x4f861,0xd5055,0x1f390e,0x223b,0x0
30,0x4d9d40,0x43603b,0x80008aa2,0x703b4,0x26d,0x16e6,0x4f867,0xdc456,0x203acf,0x223e,0x0
31,0x4fa008,0x454fd7,0x80008aa2,0x73fcc,0x282,0x179c,0x4f86f,0xe3853,0x213c41,0x2241,0x0
32,0x51a2dc,0x473ef5,0x80008aa2,0x77be5,0x297,0x1853,0x4f877,0xeac5b,0x223d62,0x2244,0x0
33,0x53a61b,0x492ec5,0x80008aa2,0x7b7ff,0x2ac,0x1901,0x4f87f,0xf205d,0x233ef8,0x2247,0x0
34,0x55a907,0x4b1e68,0x80008aa2,0x7f417,0x2c1,0x19af,0x4f885,0xf945a,0x24405c,0x224a,0x0
35,0x57ab5c,0x4d0d37,0x80008aa2,0x8302f,0x2d6,0x1a66,0x4f88b,0x100858,0x254138,0x224d,0x0
