iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11b9a4,0x9c516,0x80008aa2,0x26,0x0,0x18e,0x4f774,0x43ee,0x25d8b,0x21db,0x0
1,0x13a720,0xb9ebf,0x80008aa2,0x3a24,0xc,0x25b,0x4f77c,0xb381,0x3510f,0x21e3,0x0
2,0x159826,0xd7b65,0x80008aa2,0x7541,0x21,0x32f,0x4f784,0x123a8,0x4464a,0x21e7,0x0
3,0x178a89,0xf5982,0x80008aa2,0xb07b,0x36,0x3f5,0x4f78c,0x19442,0x53c6a,0x21ea,0x0
4,0x197f36,0x113a1c,0x80008aa2,0xebd0,0x4b,0x4b2,0x4f792,0x20549,0x63435,0x21ed,0x0
5,0x1b75cc,0x131d2c,0x80008aa2,0x12740,0x60,0x569,0x4f798,0x276b9,0x72d9d,0x21f0,0x0
6,0x1d6ea5,0x150236,0x80008aa2,0x162ca,0x75,0x623,0x4f79e,0x2e89b,0x82852,0x21f3,0x0
7,0x1f68d5,0x16e8f2,0x80008aa2,0x19e6f,0x8a,0x6c9,0x4f7a4,0x35ae8,0x92409,0x21f6,0x0
8,0x21658d,0x18d222,0x80008aa2,0x1da33,0x9f,0x77c,0x4f7aa,0x3cda2,0xa216b,0x21f9,0x0
9,0x236439,0x1abcf8,0x80008aa2,0x2160c,0xb4,0x842,0x4f7b0,0x440cb,0xb1fb9,0x21fc,0x0
10,0x256531,0x1caa3e,0x80008aa2,0x25202,0xc9,0x909,0x4f7b6,0x4b45b,0xc1fb1,0x21ff,0x0
11,0x27681e,0x1e9963,0x80008aa2,0x28e1b,0xde,0x9c6,0x4f7be,0x52860,0xd20d5,0x2202,0x0
12,0x296b39,0x20891a,0x80008aa2,0x2ca32,0xf3,0xa78,0x4f7c6,0x59c63,0xe226f,0x2205,0x0
13,0x2b6e2c,0x227883,0x80008aa2,0x30644,0x108,0xb2c,0x4f7ce,0x61063,0xf23b2,0x2208,0x0
14,0x2d7195,0x24685b,0x80008aa2,0x3425a,0x11d,0xbe3,0x4f7d4,0x68465,0x102567,0x220b,0x0
15,0x2f74a6,0x265795,0x80008aa2,0x37e67,0x132,0xc93,0x4f7da,0x6f86d,0x112694,0x220e,0x0
16,0x317831,0x2846d0,0x80008aa2,0x3ba79,0x147,0xd59,0x4f7e0,0x76c76,0x1227c2,0x2211,0x0
17,0x337b80,0x2a3666,0x80008aa2,0x3f690,0x15c,0xe16,0x4f7e6,0x7e07b,0x132928,0x2214,0x0
18,0x357e9a,0x2c2619,0x80008aa2,0x432a2,0x171,0xec1,0x4f7ec,0x85482,0x142aa1,0x2217,0x0
19,0x37825d,0x2e162c,0x80008aa2,0x46ebc,0x186,0xf83,0x4f7f2,0x8c885,0x152c50,0x221a,0x0
20,0x398638,0x3005e6,0x80008aa2,0x4aad4,0x19b,0x105e,0x4f7f8,0x93c8b,0x162dc2,0x221d,0x0
21,0x3b8972,0x31f596,0x80008aa2,0x4e6ec,0x1b0,0x1116,0x4f800,0x9b08d,0x172f3a,0x2220,0x0
22,0x3d8c12,0x33e4be,0x80008aa2,0x522ff,0x1c5,0x11c4,0x4f808,0xa248f,0x183045,0x2223,0x0
23,0x3f8ef5,0x35d3fe,0x80008aa2,0x55f17,0x1da,0x1272,0x4f810,0xa9896,0x193183,0x2226,0x0
24,0x4191f2,0x37c353,0x80008aa2,0x59b31,0x1ef,0x1333,0x4f816,0xb0c98,0x1a32c9,0x2229,0x0
25,0x4394c1,0x39b29b,0x80008aa2,0x5d74b,0x204,0x13e3,0x4f81c,0xb809e,0x1b3410,0x222c,0x0
26,0x45980a,0x3ba1e6,0x80008aa2,0x61365,0x219,0x149d,0x4f822,0xbf4ab,0x1c352c,0x222f,0x0
27,0x479ac8,0x3d9128,0x80008aa2,0x64f7d,0x22e,0x154d,0x4f828,0xc68b1,0x1d366e,0x2232,0x0
28,0x499d6b,0x3f8042,0x80008aa2,0x68b97,0x243,0x15ff,0x4f82e,0xcdcb4,0x1e3780,0x2236,0x0
29,0x4ba0af,0x416fd7,0x80008aa2,0x6c7b3,0x258,0x16c5,0x4f834,0xd50b6,0x1f38ea,0x2239,0x0
30,0x4da450,0x435fd7,0x80008aa2,0x703ca,0x26d,0x1785,0x4f83a,0xdc4b8,0x203aab,0x223c,0x0
31,0x4fa800,0x454f73,0x80008aa2,0x73fe4,0x282,0x184a,0x4f842,0xe38bb,0x213c1d,0x223f,0x0
32,0x51aad5,0x473e91,0x80008aa2,0x77bfd,0x297,0x18f9,0x4f84a,0xeacc4,0x223d3e,0x2242,0x0
33,0x53ae14,0x492e61,0x80008aa2,0x7b815,0x2ac,0x19b2,0x4f852,0xf20c1,0x233ed4,0x2245,0x0
34,0x55b153,0x4b1e04,0x80008aa2,0x7f433,0x2c1,0x1a6e,0x4f858,0xf94c0,0x244038,0x2248,0x0
35,0x57b412,0x4d0cd3,0x80008aa2,0x8304d,0x2d6,0x1b31,0x4f85e,0x1008bf,0x254114,0x224b,0x0
36,0x59b772,0x4efbf9,0x80008aa2,0x86c69,0x2eb,0x1bf1,0x4f864,0x107cc9,0x264226,0x224e,0x0
37,0x5bbacd,0x50eba3,0x80008aa2,0x8a883,0x300,0x1ca9,0x4f86a,0x10f0cb,0x274391,0x2251,0x0
38,0x5dbdfe,0x52db1c,0x80008aa2,0x8e49f,0x315,0x1d60,0x4f870,0x1164d5,0x2844ef,0x2254,0x0
39,0x5fc118,0x54ca55,0x80008aa2,0x920bb,0x32a,0x1e16,0x4f876,0x11d8de,0x294622,0x2257,0x0
40,0x61c486,0x56b9f8,0x80008aa2,0x95cd5,0x33f,0x1ed6,0x4f87c,0x124ce7,0x2a47a3,0x225a,0x0
41,0x63c7dd,0x58a9fb,0x80008aa2,0x998ef,0x354,0x1f84,0x4f884,0x12c0ec,0x2b4957,0x225d,0x0
42,0x65cb5a,0x5a99a2,0x80008aa2,0x9d50b,0x369,0x2045,0x4f88c,0x1334f6,0x2c4adb,0x2260,0x0
43,0x67cece,0x5c8964,0x80008aa2,0xa1125,0x37e,0x2104,0x4f894,0x13a8ff,0x2d4c5c,0x2263,0x0
44,0x69d1f2,0x5e7886,0x80008aa2,0xa4d3f,0x393,0x21b0,0x4f89a,0x141d0e,0x2e4d76,0x2266,0x0
45,0x6bd4b6,0x606791,0x80008aa2,0xa8959,0x3a8,0x2265,0x4f8a0,0x14911a,0x2f4e88,0x2269,0x0
46,0x6dd7ac,0x6256f6,0x80008aa2,0xac573,0x3bd,0x231e,0x4f8a6,0x150520,0x304fbf,0x226c,0x0
47,0x6fdb6a,0x6446bf,0x80008aa2,0xb018b,0x3d2,0x23e0,0x4f8ac,0x157930,0x31514f,0x226f,0x0
48,0x71df1c,0x66369c,0x80008aa2,0xb3da5,0x3e7,0x24ad,0x4f8b2,0x15ed41,0x3252e6,0x2272,0x0
49,0x73e22e,0x68261d,0x80008aa2,0xb79bd,0x3fc,0x2561,0x4f8b8,0x16614c,0x33543b,0x2275,0x0
50,0x75e5ce,0x6a1612,0x80008aa2,0xbb5d7,0x411,0x2627,0x4f8be,0x16d54e,0x3455e3,0x2278,0x0
51,0x77e975,0x6c0636,0x80008aa2,0xbf1f1,0x426,0x26e3,0x4f8c6,0x174957,0x3557c7,0x227b,0x0
52,0x79ecae,0x6df52f,0x80008aa2,0xc2e0f,0x43b,0x27a7,0x4f8ce,0x17bd69,0x3658bf,0x227e,0x0
53,0x7bf03b,0x6fe4c5,0x80008aa2,0xc6a22,0x450,0x286d,0x4f8d6,0x183178,0x375a22,0x2281,0x0
54,0x7df462,0x71d502,0x80008aa2,0xca635,0x465,0x293c,0x4f8dc,0x18a587,0x385bf7,0x2284,0x0
55,0x7ff7e3,0x73c4ce,0x80008aa2,0xce249,0x47a,0x2a01,0x4f8e2,0x191996,0x395da5,0x2287,0x0
56,0x81faf3,0x75b435,0x80008aa2,0xd1e5c,0x48f,0x2ab8,0x4f8e8,0x198d9f,0x3a5f06,0x228a,0x0
57,0x83fe34,0x77a3c6,0x80008aa2,0xd5a70,0x4a4,0x2b76,0x4f8ee,0x1a01a6,0x3b606f,0x228d,0x0
58,0x86018d,0x799399,0x80008aa2,0xd9688,0x4b9,0x2c2d,0x4f8f4,0x1a75b3,0x3c6205,0x2290,0x0
59,0x880477,0x7b82d1,0x80008aa2,0xdd29e,0x4ce,0x2cdc,0x4f8fa,0x1ae9bc,0x3d6330,0x2293,0x0
60,0x8a0779,0x7d7213,0x80008aa2,0xe0eb4,0x4e3,0x2d92,0x4f900,0x1b5dc6,0x3e644f,0x2296,0x0
61,0x8c0ad6,0x7f61b9,0x80008aa2,0xe4acd,0x4f8,0x2e50,0x4f908,0x1bd1d2,0x3f65d4,0x2299,0x0
62,0x8e0e23,0x81519d,0x80008aa2,0xe86e6,0x50d,0x2f06,0x4f910,0x1c45d9,0x406789,0x229c,0x0
63,0x9010c9,0x83411e,0x80008aa2,0xec2ff,0x522,0x2fa8,0x4f918,0x1cb9e1,0x4168e4,0x229f,0x0
64,0x921437,0x8530ff,0x80008aa2,0xeff18,0x537,0x3061,0x4f91e,0x1d2ded,0x426a74,0x22a2,0x0
65,0x941771,0x87205f,0x80008aa2,0xf3b31,0x54c,0x3124,0x4f924,0x1da1f7,0x436bb7,0x22a5,0x0
66,0x961a5f,0x890f8a,0x80008aa2,0xf7748,0x561,0x31e2,0x4f92a,0x1e1604,0x446ccf,0x22a8,0x0
67,0x981dc8,0x8aff70,0x80008aa2,0xfb362,0x576,0x329b,0x4f930,0x1e8a0b,0x456e72,0x22ab,0x0
68,0x9a2142,0x8cef63,0x80008aa2,0xfef7e,0x58b,0x335e,0x4f936,0x1efe11,0x467028,0x22ae,0x0
69,0x9c253c,0x8edf9f,0x80008aa2,0x102b98,0x5a0,0x342a,0x4f93c,0x1f7217,0x4771fc,0x22b1,0x0
70,0x9e2856,0x90cede,0x80008aa2,0x1067b2,0x5b5,0x34dd,0x4f942,0x1fe627,0x487328,0x22b4,0x0
71,0xa02b43,0x92be52,0x80008aa2,0x10a3ce,0x5ca,0x3589,0x4f94a,0x205a39,0x49748d,0x22b7,0x0
72,0xa22e4f,0x94adb6,0x80008aa2,0x10dfe8,0x5df,0x3645,0x4f952,0x20ce3d,0x4a75c4,0x22ba,0x0
73,0xa4312a,0x969ca4,0x80008aa2,0x111c02,0x5f4,0x3701,0x4f95a,0x214247,0x4b76ad,0x22bd,0x0
74,0xa63546,0x988cad,0x80008aa2,0x115820,0x609,0x37ca,0x4f960,0x21b659,0x4c785f,0x22c0,0x0
75,0xa8388d,0x9a7bd6,0x80008aa2,0x11943c,0x61e,0x389a,0x4f966,0x222a69,0x4d7978,0x22c3,0x0
76,0xaa3bcb,0x9c6b3b,0x80008aa2,0x11d058,0x633,0x394d,0x4f96c,0x229e79,0x4e7ab9,0x22c6,0x0
77,0xac3edc,0x9e5a78,0x80008aa2,0x120c72,0x648,0x3a00,0x4f972,0x231289,0x4f7bec,0x22c9,0x0
78,0xae4243,0xa049ed,0x80008aa2,0x12488a,0x65d,0x3abf,0x4f978,0x238695,0x507d2d,0x22cc,0x0
79,0xb045a0,0xa23972,0x80008aa2,0x1284a4,0x672,0x3b79,0x4f97e,0x23fa9e,0x517e7e,0x22cf,0x0
80,0xb24944,0xa428f8,0x80008aa2,0x12c0be,0x687,0x3c3f,0x4f984,0x246eab,0x527fd1,0x22d2,0x0
81,0xb44c1c,0xa617e7,0x80008aa2,0x12fcd8,0x69c,0x3cfa,0x4f98c,0x24e2b1,0x5380c8,0x22d5,0x0
82,0xb64fe2,0xa807d3,0x80008aa2,0x1338f2,0x6b1,0x3dc2,0x4f994,0x2556b9,0x54825c,0x22d8,0x0
83,0xb852a0,0xa9f72d,0x80008aa2,0x13750a,0x6c6,0x3e7a,0x4f99c,0x25cac2,0x55839e,0x22db,0x0
84,0xba5599,0xabe6d0,0x80008aa2,0x13b124,0x6db,0x3f29,0x4f9a2,0x263ece,0x56851d,0x22de,0x0
85,0xbc5850,0xadd5f3,0x80008aa2,0x13ed3c,0x6f0,0x3fcf,0x4f9a8,0x26b2df,0x578644,0x22e1,0x0
86,0xbe5b45,0xafc556,0x80008aa2,0x142958,0x705,0x4084,0x4f9ae,0x2726e7,0x58879a,0x22e4,0x0
87,0xc05e60,0xb1b521,0x80008aa2,0x146572,0x71a,0x413c,0x4f9b4,0x279aea,0x59894a,0x22e7,0x0
88,0xc261cd,0xb3a4f1,0x80008aa2,0x14a18c,0x72f,0x4201,0x4f9ba,0x280ef1,0x5a8ada,0x22ea,0x0
89,0xc464ac,0xb59471,0x80008aa2,0x14dda8,0x744,0x42aa,0x4f9c0,0x2882fe,0x5b8c53,0x22ed,0x0
90,0xc66833,0xb7842d,0x80008aa2,0x1519c6,0x759,0x4373,0x4f9c6,0x28f706,0x5c8dd2,0x22f0,0x0
91,0xc86b51,0xb9736f,0x80008aa2,0x1555e2,0x76e,0x4430,0x4f9ce,0x296b0d,0x5d8efb,0x22f3,0x0
92,0xca6e37,0xbb6269,0x80008aa2,0x1591fc,0x783,0x44ef,0x4f9d6,0x29df18,0x5e8feb,0x22f6,0x0
93,0xcc718f,0xbd5233,0x80008aa2,0x15ce16,0x798,0x45b0,0x4f9de,0x2a531f,0x5f917c,0x22f9,0x0
94,0xce7538,0xbf41d0,0x80008aa2,0x160a2f,0x7ad,0x4682,0x4f9e4,0x2ac72b,0x6092da,0x22fc,0x0
95,0xd07892,0xc13173,0x80008aa2,0x164646,0x7c2,0x4736,0x4f9ea,0x2b3b32,0x619440,0x22ff,0x0
96,0xd27c26,0xc320ec,0x80008aa2,0x16825d,0x7d7,0x4800,0x4f9f0,0x2baf3c,0x6295a3,0x2302,0x0
97,0xd47f7d,0xc51083,0x80008aa2,0x16be76,0x7ec,0x48bc,0x4f9f6,0x2c2341,0x639712,0x2305,0x0
98,0xd682ad,0xc7000b,0x80008aa2,0x16fa90,0x801,0x497b,0x4f9fc,0x2c9747,0x649879,0x2308,0x0
99,0xd88606,0xc8eff8,0x80008aa2,0x1736a5,0x816,0x4a31,0x4fa02,0x2d0b49,0x659a1c,0x230b,0x0
100,0xda8985,0xcadf5b,0x80008aa2,0x1772c1,0x82b,0x4af8,0x4fa08,0x2d7f53,0x669b4b,0x230e,0x0
101,0xdc8c2e,0xccce75,0x80008aa2,0x17aedd,0x840,0x4bad,0x4fa10,0x2df359,0x679c5d,0x2311,0x0
102,0xde8fc1,0xcebe18,0x80008aa2,0x17eaf7,0x855,0x4c7e,0x4fa18,0x2e675e,0x689ddb,0x2314,0x0
103,0xe092d6,0xd0ad33,0x80008aa2,0x182711,0x86a,0x4d3b,0x4fa20,0x2edb65,0x699ee4,0x2317,0x0
104,0xe29627,0xd29d3f,0x80008aa2,0x18632b,0x87f,0x4ded,0x4fa26,0x2f4f69,0x6aa098,0x231a,0x0
105,0xe49900,0xd48c96,0x80008aa2,0x189f40,0x894,0x4ea0,0x4fa2c,0x2fc373,0x6ba1e4,0x231d,0x0
106,0xe69bce,0xd67bec,0x80008aa2,0x18db58,0x8a9,0x4f48,0x4fa32,0x30377a,0x6ca319,0x2320,0x0
107,0xe89e9c,0xd86b3d,0x80008aa2,0x191772,0x8be,0x4ff9,0x4fa38,0x30ab80,0x6da443,0x2323,0x0
108,0xeaa166,0xda5aa2,0x80008aa2,0x19538a,0x8d3,0x50a2,0x4fa3e,0x311f88,0x6ea58b,0x2326,0x0
109,0xeca521,0xdc4a88,0x80008aa2,0x198f9d,0x8e8,0x5161,0x4fa44,0x319390,0x6fa71c,0x2329,0x0
110,0xeea849,0xde3a00,0x80008aa2,0x19cbb7,0x8fd,0x521e,0x4fa4a,0x320796,0x70a882,0x232c,0x0
111,0xf0ab2c,0xe02920,0x80008aa2,0x1a07d1,0x912,0x52c3,0x4fa52,0x327ba2,0x71a999,0x232f,0x0
112,0xf2ae3a,0xe21861,0x80008aa2,0x1a43ed,0x927,0x5384,0x4fa5a,0x32efa8,0x72aac3,0x2332,0x0
