iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11b969,0x9c516,0x80008aa2,0x26,0x0,0x18f,0x4f781,0x43f9,0x25d97,0x21dd,0x0
1,0x13a722,0xb9ebf,0x80008aa2,0x3a20,0xc,0x276,0x4f789,0xb38a,0x3511b,0x21e5,0x0
2,0x159785,0xd7b65,0x80008aa2,0x753f,0x21,0x336,0x4f791,0x123ae,0x44656,0x21e9,0x0
3,0x178997,0xf5982,0x80008aa2,0xb079,0x36,0x3f3,0x4f799,0x19446,0x53c76,0x21ec,0x0
4,0x197e10,0x113a1c,0x80008aa2,0xebd2,0x4b,0x4b8,0x4f79f,0x2054e,0x63441,0x21ef,0x0
5,0x1b7451,0x131d2c,0x80008aa2,0x12742,0x60,0x566,0x4f7a5,0x276c0,0x72da9,0x21f2,0x0
6,0x1d6d03,0x150236,0x80008aa2,0x162ca,0x75,0x62f,0x4f7ab,0x2e8a0,0x8285e,0x21f5,0x0
7,0x1f674c,0x16e8f2,0x80008aa2,0x19e6b,0x8a,0x6db,0x4f7b1,0x35aef,0x92415,0x21f8,0x0
8,0x2163ff,0x18d222,0x80008aa2,0x1da2b,0x9f,0x78d,0x4f7b7,0x3cdab,0xa2177,0x21fb,0x0
9,0x23623d,0x1abcf8,0x80008aa2,0x21604,0xb4,0x846,0x4f7bd,0x440d1,0xb1fc5,0x21fe,0x0
10,0x2562ba,0x1caa3e,0x80008aa2,0x251f8,0xc9,0x901,0x4f7c3,0x4b461,0xc1fbd,0x2201,0x0
11,0x27654d,0x1e9963,0x80008aa2,0x28e11,0xde,0x9b5,0x4f7cb,0x52865,0xd20e1,0x2204,0x0
12,0x296895,0x20891a,0x80008aa2,0x2ca28,0xf3,0xa7e,0x4f7d3,0x59c6a,0xe227b,0x2207,0x0
13,0x2b6b52,0x227883,0x80008aa2,0x30641,0x108,0xb3d,0x4f7db,0x61067,0xf23be,0x220a,0x0
14,0x2d6e4f,0x24685b,0x80008aa2,0x3425c,0x11d,0xbf7,0x4f7e1,0x68467,0x102573,0x220d,0x0
15,0x2f710b,0x265795,0x80008aa2,0x37e73,0x132,0xcb2,0x4f7e7,0x6f866,0x1126a0,0x2210,0x0
16,0x3173cc,0x2846d0,0x80008aa2,0x3ba8a,0x147,0xd61,0x4f7ed,0x76c66,0x1227ce,0x2214,0x0
17,0x3376a7,0x2a3666,0x80008aa2,0x3f6a1,0x15c,0xe16,0x4f7f3,0x7e064,0x132934,0x2217,0x0
