event,importance,std_of_rate,mean_of_rate
FP load retired,0.06646188206230988,0.0016287499527789788,0.04552173605515636
other FP retired,0.0661217118975155,0.0002748728738694725,0.000811802900790435
FP add retired,0.06540119903146109,0.00047103627595779837,0.014635410000870142
FP store retired,0.06499432922592842,0.0006685641848973729,0.019268355095464738
d-cache writeback requests,0.06473879962282142,1.593333348015554e-05,2.3669849997899763e-05
FP multiply retired,0.06454839066027288,0.0005709568401682785,0.013840849569354005
d-cache blocked cycles,0.06444327697109435,7.713021833964736e-05,0.00011931129807026408
d-cache misses,0.06312475749390677,1.9896189142361892e-05,2.417765599374912e-05
FP div/sqrt retired,0.06240588016248827,4.6925658375505456e-05,0.0001151085187415579
long-latency interlock,0.06147273749699412,5.769703002885597e-05,3.7741698255041904e-05
int arithmetic retired,0.05919649097169208,0.0051953345682662164,0.4842056927695384
FP interlock cycles,0.0582271469560661,0.006865841136622547,0.09360386338038207
addr-generation interlock,0.05722212476445169,0.01220836395140333,0.25796736075570026
pipeline flushes,0.05482899907885444,4.127309017986299e-06,5.525294051205062e-05
cond-branch mispredictions,0.051477526699560766,0.00024506528079869976,0.0011964025518710788
exceptions taken,0.0,0.0,0.0
FP fused-multiply-add retired,0.0,0.0,0.0
mul/div interlock,0.0,0.0,0.0
