register,importance,std,mean
fs0,0.09089690623177551,31.357091091826277,3.411158405327282
fa0,0.09088216706949215,2082270.9686706509,2274122.146148907
ft1,0.08995560564946065,34.94743616334032,22.15125536520725
ft3,0.08888183347469936,2.8975011272781193,4.070444783361277
fa5,0.08884583041482302,376215.3964989,31356.083623088645
fa4,0.08646782062022647,425069.35950300476,43521.364294982784
fa3,0.08245211923356895,444453.9041790064,47790.98368758488
fa2,0.08179460624356615,35.8504317275729,4726140.019589711
fa1,0.08178991786955965,9.161425114607324,851759.2136779119
ft2,0.0801175939381203,6.89474349375392,14.988710902646027
ft4,0.07503760427084513,0.8961049211776029,3.1567525365662865
ft0,0.0,0.0,4726199.2439
ft5,0.0,0.0,0.0
ft6,0.0,0.0,0.0
ft7,0.0,0.0,0.0
fs1,0.0,0.0,0.0
fs2,0.0,0.0,0.0
fs3,0.0,0.0,0.0
fs4,0.0,0.0,0.0
fs5,0.0,0.0,0.0
fs6,0.0,0.0,0.0
fs7,0.0,0.0,0.0
fs8,0.0,0.0,0.0
fs9,0.0,0.0,0.0
fs10,0.0,0.0,0.0
fs11,0.0,0.0,0.0
fa6,0.0,0.0,0.0
fa7,0.0,0.0,0.0
ft8,0.0,0.0,0.0
ft9,0.0,0.0,0.0
ft10,0.0,0.0,0.0
ft11,0.0,0.0,0.0
