register,importance,std,mean
a4,0.05253418708853434,7.0733780063229e+17,2.7488839025089764e+16
t5,0.05253158039956971,1074614.7518778658,5900729.92903365
a2,0.0525091416177323,2.709243305096319e+17,3979021918964634.5
t1,0.05111799374918163,4.739716810685066e+17,1.2929692385379204e+16
a3,0.050902503047033386,6.411104187358586e+17,9.070676866451358e+16
fp,0.05043382230222466,561.3838322309693,2147586092.05522
a5,0.050198185351761807,2.3876804280971377e+18,3.143427059649464e+17
a1,0.05000212565847902,1.596920434840441e+18,1.3926575751419982e+17
ra,0.048774273206640816,3379.0845666623354,2147506991.405522
a0,0.0479225461113581,516077834.6323295,2013771538.4583693
sp,0.047680036690398414,424.16008667058554,2147585946.971527
s1,0.04766748069028132,334056643.1118253,53272727.76704055
t0,0.046793049309206684,1.504603271710917e+18,5.565044456426907e+17
t4,0.046031401530860765,9.213204688850976e+18,8.769763576121876e+18
a6,0.04586181691028909,7.180785269447704e+18,3.4338956301888983e+18
t2,0.04502924800066903,9.588184660251371e+16,1991713834393160.5
t6,0.04489699804128595,6.7655907929811944e+16,4.6055738588260065e+18
a7,0.04468339721961778,4.381364944401685e+18,3.6038388529460833e+18
t3,0.03887075418796499,3.066024880236995,0.40077653149266607
gp,0.0,0.0,2147545488.0
tp,0.0,0.0,2147545536.0
s2,0.0,0.0,0.0
s3,0.0,0.0,0.0
s4,0.0,0.0,0.0
s5,0.0,0.0,0.0
s6,0.0,0.0,0.0
s7,0.0,0.0,0.0
s8,0.0,0.0,0.0
s9,0.0,0.0,0.0
s10,0.0,0.0,61648884.0
s11,0.0,0.0,0.0
