counter,anomaly_type,median_anomaly,median_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
hpmcounter4,replay,27989.5,27643.5,45116.0,1.3726687763543067e-43,0.7511256016146561,3.294405063250336e-42,True
hpmcounter3,jump,880.0,1095.0,12926.5,2.598298562609546e-20,-0.5004637322719017,3.1179582751314553e-19,True
hpmcounter4,drift,27531.0,27643.5,18220.0,4.7696633088020003e-08,-0.2958998338292692,3.8157306470416003e-07,True
hpmcounter3,drift,1122.0,1095.0,26809.5,0.5063135147177273,0.036035861962360395,0.9980086667230584,False
hpmcounter8,replay,8611660.0,8650028.5,25506.0,0.853839626737172,-0.010013972985561248,0.9980086667230584,False
hpmcounter7,replay,28335.0,28393.5,25466.5,0.8317319140745987,-0.011547120012420432,0.9980086667230584,False
hpmcounter6,replay,9974678.0,10019907.5,25496.0,0.8482311616071784,-0.0104021114733737,0.9980086667230584,False
hpmcounter5,replay,29378.5,29926.5,24539.0,0.3810103038193726,-0.04754696475702531,0.9980086667230584,False
hpmcounter3,replay,1086.5,1095.0,24940.5,0.5559987949466341,-0.03196320447135538,0.9980086667230584,False
hpmcounter10,jump,5227476.0,5220829.5,25913.0,0.9798043296068503,0.0013911968157050664,0.9980086667230584,False
hpmcounter9,jump,104604.0,104459.0,25902.0,0.9860613625268463,0.0009661088997951849,0.9980086667230584,False
hpmcounter8,jump,8662336.0,8650028.5,25916.0,0.9780980652575888,0.0015071298836804884,0.9980086667230584,False
hpmcounter6,jump,10032579.0,10019907.5,25899.0,0.987767992194016,0.0008501758318197627,0.9980086667230584,False
hpmcounter9,replay,104020.5,104459.0,25496.0,0.8482311616071784,-0.0104021114733737,0.9980086667230584,False
hpmcounter5,jump,29551.0,29926.5,24676.0,0.39197085494448813,-0.046411871546160686,0.9980086667230584,False
hpmcounter4,jump,27637.0,27643.5,25537.0,0.8087104628828445,-0.013139081037214515,0.9980086667230584,False
hpmcounter10,drift,5218442.0,5220829.5,25837.0,0.9775293323569094,-0.0015457742396722959,0.9980086667230584,False
hpmcounter9,drift,104455.0,104459.0,25840.0,0.9792355641715492,-0.0014298411716968736,0.9980086667230584,False
hpmcounter8,drift,8645639.0,8650028.5,25843.0,0.9809418909890232,-0.0013139081037214515,0.9980086667230584,False
hpmcounter7,drift,28385.0,28393.5,25814.0,0.9644521993851713,-0.002434594427483866,0.9980086667230584,False
hpmcounter6,drift,10015363.0,10019907.5,25841.0,0.9798043296068503,-0.0013911968157050664,0.9980086667230584,False
hpmcounter5,drift,29472.0,29926.5,24673.0,0.3907887422026687,-0.0465278046141361,0.9980086667230584,False
hpmcounter7,jump,28411.0,28393.5,25881.0,0.9980086667230584,0.00015457742396722958,0.9980086667230584,False
hpmcounter10,replay,5196809.5,5220829.5,25497.0,0.8487916673716419,-0.010363297624592455,0.9980086667230584,False
