counter,mode,seed,num_windows,num_flagged_windows,max_D,threshold,trial_exceeds_threshold
hpmcounter10,drift,test_seed_1,282,0,79.33035171935897,183.2070984550081,False
hpmcounter10,drift,test_seed_10,282,0,84.82639094188303,183.2070984550081,False
hpmcounter10,drift,test_seed_11,282,0,94.28718029331806,183.2070984550081,False
hpmcounter10,drift,test_seed_12,282,0,52.60819206299023,183.2070984550081,False
hpmcounter10,drift,test_seed_13,282,0,88.25489551469441,183.2070984550081,False
hpmcounter10,drift,test_seed_14,282,0,61.901311819594255,183.2070984550081,False
hpmcounter10,drift,test_seed_15,282,0,62.56210282517467,183.2070984550081,False
hpmcounter10,drift,test_seed_16,282,0,86.4011394349784,183.2070984550081,False
hpmcounter10,drift,test_seed_17,282,0,82.41507568912681,183.2070984550081,False
hpmcounter10,drift,test_seed_18,282,0,70.97751642177428,183.2070984550081,False
hpmcounter10,drift,test_seed_19,282,0,75.38710469303709,183.2070984550081,False
hpmcounter10,drift,test_seed_2,282,0,78.12221584078345,183.2070984550081,False
hpmcounter10,drift,test_seed_20,282,0,60.22851033147743,183.2070984550081,False
hpmcounter10,drift,test_seed_3,282,0,67.73908297479956,183.2070984550081,False
hpmcounter10,drift,test_seed_4,282,0,158.58998972738993,183.2070984550081,False
hpmcounter10,drift,test_seed_5,282,0,119.69845764705504,183.2070984550081,False
hpmcounter10,drift,test_seed_6,282,0,67.48399177340006,183.2070984550081,False
hpmcounter10,drift,test_seed_7,282,0,75.12692386183618,183.2070984550081,False
hpmcounter10,drift,test_seed_8,282,0,83.18716509462634,183.2070984550081,False
hpmcounter10,drift,test_seed_9,282,0,85.60924779481857,183.2070984550081,False
hpmcounter10,jump,test_seed_1,282,0,83.99303827938388,183.2070984550081,False
hpmcounter10,jump,test_seed_10,282,0,119.7438844826088,183.2070984550081,False
hpmcounter10,jump,test_seed_11,282,0,65.00125182212881,183.2070984550081,False
hpmcounter10,jump,test_seed_12,282,0,112.48589075488728,183.2070984550081,False
hpmcounter10,jump,test_seed_13,282,0,54.90495986147305,183.2070984550081,False
hpmcounter10,jump,test_seed_14,282,0,52.92166947289379,183.2070984550081,False
hpmcounter10,jump,test_seed_15,282,0,56.305256594304055,183.2070984550081,False
hpmcounter10,jump,test_seed_16,282,0,125.2911460656321,183.2070984550081,False
hpmcounter10,jump,test_seed_17,282,0,60.487114377721625,183.2070984550081,False
hpmcounter10,jump,test_seed_18,282,0,86.20534101290626,183.2070984550081,False
hpmcounter10,jump,test_seed_19,282,0,73.21268553818453,183.2070984550081,False
hpmcounter10,jump,test_seed_2,282,0,80.83651583079863,183.2070984550081,False
hpmcounter10,jump,test_seed_20,282,0,90.5109864252714,183.2070984550081,False
hpmcounter10,jump,test_seed_3,282,0,48.97284379340428,183.2070984550081,False
hpmcounter10,jump,test_seed_4,282,0,84.18303687137461,183.2070984550081,False
hpmcounter10,jump,test_seed_5,282,0,94.5362923495976,183.2070984550081,False
hpmcounter10,jump,test_seed_6,282,0,59.68258038154854,183.2070984550081,False
hpmcounter10,jump,test_seed_7,282,0,96.22819400227272,183.2070984550081,False
hpmcounter10,jump,test_seed_8,282,0,89.05219294758646,183.2070984550081,False
hpmcounter10,jump,test_seed_9,282,0,86.76540739526298,183.2070984550081,False
hpmcounter10,replay,test_seed_1,282,0,56.97871788471557,183.2070984550081,False
hpmcounter10,replay,test_seed_10,282,0,165.88769950353688,183.2070984550081,False
hpmcounter10,replay,test_seed_11,282,0,82.92639558024588,183.2070984550081,False
hpmcounter10,replay,test_seed_12,282,0,67.81473715533019,183.2070984550081,False
hpmcounter10,replay,test_seed_13,282,0,91.7078671298558,183.2070984550081,False
hpmcounter10,replay,test_seed_14,282,0,75.89287408540123,183.2070984550081,False
hpmcounter10,replay,test_seed_15,282,0,77.7942513434277,183.2070984550081,False
hpmcounter10,replay,test_seed_16,282,0,88.56322056261756,183.2070984550081,False
hpmcounter10,replay,test_seed_17,282,0,80.23305800959946,183.2070984550081,False
hpmcounter10,replay,test_seed_18,282,0,103.64061654268929,183.2070984550081,False
hpmcounter10,replay,test_seed_19,282,0,123.41601364832702,183.2070984550081,False
hpmcounter10,replay,test_seed_2,282,0,105.8179774806583,183.2070984550081,False
hpmcounter10,replay,test_seed_20,282,0,73.46133574680866,183.2070984550081,False
hpmcounter10,replay,test_seed_3,282,0,118.69874513590004,183.2070984550081,False
hpmcounter10,replay,test_seed_4,282,0,60.038849600231146,183.2070984550081,False
hpmcounter10,replay,test_seed_5,282,0,102.16161398967508,183.2070984550081,False
hpmcounter10,replay,test_seed_6,282,0,152.7938759321624,183.2070984550081,False
hpmcounter10,replay,test_seed_7,282,0,152.7938759321624,183.2070984550081,False
hpmcounter10,replay,test_seed_8,282,0,152.7938759321624,183.2070984550081,False
hpmcounter10,replay,test_seed_9,282,0,152.7938759321624,183.2070984550081,False
hpmcounter3,drift,test_seed_1,282,0,95.4483026648375,189.48440654417075,False
hpmcounter3,drift,test_seed_10,282,0,133.25865676279008,189.48440654417075,False
hpmcounter3,drift,test_seed_11,282,0,62.37969213868127,189.48440654417075,False
hpmcounter3,drift,test_seed_12,282,0,52.10723484916464,189.48440654417075,False
hpmcounter3,drift,test_seed_13,282,0,99.0661029459064,189.48440654417075,False
hpmcounter3,drift,test_seed_14,282,0,91.98154664946564,189.48440654417075,False
hpmcounter3,drift,test_seed_15,282,0,64.1642963689326,189.48440654417075,False
hpmcounter3,drift,test_seed_16,282,0,73.19533394537058,189.48440654417075,False
hpmcounter3,drift,test_seed_17,282,0,93.8261476764784,189.48440654417075,False
hpmcounter3,drift,test_seed_18,282,0,110.38073051226364,189.48440654417075,False
hpmcounter3,drift,test_seed_19,282,0,123.29331575417852,189.48440654417075,False
hpmcounter3,drift,test_seed_2,282,0,94.762481026741,189.48440654417075,False
hpmcounter3,drift,test_seed_20,282,0,88.0765434809808,189.48440654417075,False
hpmcounter3,drift,test_seed_3,282,0,72.88981780391813,189.48440654417075,False
hpmcounter3,drift,test_seed_4,282,0,59.147554237394765,189.48440654417075,False
hpmcounter3,drift,test_seed_5,282,0,140.88458077535165,189.48440654417075,False
hpmcounter3,drift,test_seed_6,282,1,236.19585167510172,189.48440654417075,True
hpmcounter3,drift,test_seed_7,282,0,81.11467895448132,189.48440654417075,False
hpmcounter3,drift,test_seed_8,282,0,115.74247910037464,189.48440654417075,False
hpmcounter3,drift,test_seed_9,282,0,168.56035553569325,189.48440654417075,False
hpmcounter3,jump,test_seed_1,282,0,88.61091514951478,189.48440654417075,False
hpmcounter3,jump,test_seed_10,282,0,135.1159327878319,189.48440654417075,False
hpmcounter3,jump,test_seed_11,282,0,50.291265844239625,189.48440654417075,False
hpmcounter3,jump,test_seed_12,282,0,53.88248197207091,189.48440654417075,False
hpmcounter3,jump,test_seed_13,282,0,53.61901514387963,189.48440654417075,False
hpmcounter3,jump,test_seed_14,282,0,130.17469127706323,189.48440654417075,False
hpmcounter3,jump,test_seed_15,282,0,89.69245709894571,189.48440654417075,False
hpmcounter3,jump,test_seed_16,282,0,136.05677162200735,189.48440654417075,False
hpmcounter3,jump,test_seed_17,282,0,51.87900893075452,189.48440654417075,False
hpmcounter3,jump,test_seed_18,282,0,91.62666195616838,189.48440654417075,False
hpmcounter3,jump,test_seed_19,282,0,120.5105648916658,189.48440654417075,False
hpmcounter3,jump,test_seed_2,282,0,91.33894217746388,189.48440654417075,False
hpmcounter3,jump,test_seed_20,282,0,63.93227949431147,189.48440654417075,False
hpmcounter3,jump,test_seed_3,282,0,64.22771625119623,189.48440654417075,False
hpmcounter3,jump,test_seed_4,282,0,87.90416951910063,189.48440654417075,False
hpmcounter3,jump,test_seed_5,282,0,74.55621660527115,189.48440654417075,False
hpmcounter3,jump,test_seed_6,282,0,67.60393659971076,189.48440654417075,False
hpmcounter3,jump,test_seed_7,282,0,128.60745282099637,189.48440654417075,False
hpmcounter3,jump,test_seed_8,282,0,122.8718939068086,189.48440654417075,False
hpmcounter3,jump,test_seed_9,282,0,115.77459900035,189.48440654417075,False
hpmcounter3,replay,test_seed_1,282,0,97.10931378913853,189.48440654417075,False
hpmcounter3,replay,test_seed_10,282,0,93.26437589543616,189.48440654417075,False
hpmcounter3,replay,test_seed_11,282,0,58.517636509834965,189.48440654417075,False
hpmcounter3,replay,test_seed_12,282,0,71.01125505799304,189.48440654417075,False
hpmcounter3,replay,test_seed_13,282,0,84.62254260845154,189.48440654417075,False
hpmcounter3,replay,test_seed_14,282,0,168.39427154950218,189.48440654417075,False
hpmcounter3,replay,test_seed_15,282,0,54.325662327821945,189.48440654417075,False
hpmcounter3,replay,test_seed_16,282,0,122.54001652410456,189.48440654417075,False
hpmcounter3,replay,test_seed_17,282,0,79.73194879954143,189.48440654417075,False
hpmcounter3,replay,test_seed_18,282,0,70.35414568573613,189.48440654417075,False
hpmcounter3,replay,test_seed_19,282,0,128.5422432253435,189.48440654417075,False
hpmcounter3,replay,test_seed_2,282,0,147.54164395712843,189.48440654417075,False
hpmcounter3,replay,test_seed_20,282,0,78.56790811953276,189.48440654417075,False
hpmcounter3,replay,test_seed_3,282,0,50.89828302678925,189.48440654417075,False
hpmcounter3,replay,test_seed_4,282,0,78.40118891226942,189.48440654417075,False
hpmcounter3,replay,test_seed_5,282,0,105.18722106378355,189.48440654417075,False
hpmcounter3,replay,test_seed_6,282,0,93.07115514453211,189.48440654417075,False
hpmcounter3,replay,test_seed_7,282,0,93.07115514453211,189.48440654417075,False
hpmcounter3,replay,test_seed_8,282,0,93.07115514453211,189.48440654417075,False
hpmcounter3,replay,test_seed_9,282,0,93.07115514453211,189.48440654417075,False
hpmcounter4,drift,test_seed_1,282,0,157.26212738356438,659.7992298804954,False
hpmcounter4,drift,test_seed_10,282,0,79.7978913973934,659.7992298804954,False
hpmcounter4,drift,test_seed_11,282,0,314.9282399751016,659.7992298804954,False
hpmcounter4,drift,test_seed_12,282,0,348.71047813326817,659.7992298804954,False
hpmcounter4,drift,test_seed_13,282,0,131.2427291342987,659.7992298804954,False
hpmcounter4,drift,test_seed_14,282,0,103.16615474137296,659.7992298804954,False
hpmcounter4,drift,test_seed_15,282,0,106.7830785005664,659.7992298804954,False
hpmcounter4,drift,test_seed_16,282,0,168.52882337578552,659.7992298804954,False
hpmcounter4,drift,test_seed_17,282,0,135.17863991935374,659.7992298804954,False
hpmcounter4,drift,test_seed_18,282,0,154.9734198540356,659.7992298804954,False
hpmcounter4,drift,test_seed_19,282,0,137.65885718940694,659.7992298804954,False
hpmcounter4,drift,test_seed_2,282,0,120.75727422140942,659.7992298804954,False
hpmcounter4,drift,test_seed_20,282,0,149.59660250697277,659.7992298804954,False
hpmcounter4,drift,test_seed_3,282,0,320.9673111496498,659.7992298804954,False
hpmcounter4,drift,test_seed_4,282,0,147.7235176624076,659.7992298804954,False
hpmcounter4,drift,test_seed_5,282,0,120.54188618061268,659.7992298804954,False
hpmcounter4,drift,test_seed_6,282,0,317.3132623238543,659.7992298804954,False
hpmcounter4,drift,test_seed_7,282,0,210.60086860721395,659.7992298804954,False
hpmcounter4,drift,test_seed_8,282,0,259.52476019294664,659.7992298804954,False
hpmcounter4,drift,test_seed_9,282,0,87.91279558506575,659.7992298804954,False
hpmcounter4,jump,test_seed_1,282,0,127.47915518991628,659.7992298804954,False
hpmcounter4,jump,test_seed_10,282,0,173.73848027967526,659.7992298804954,False
hpmcounter4,jump,test_seed_11,282,0,237.07884583027587,659.7992298804954,False
hpmcounter4,jump,test_seed_12,282,0,129.56487447697842,659.7992298804954,False
hpmcounter4,jump,test_seed_13,282,0,81.17570558156825,659.7992298804954,False
hpmcounter4,jump,test_seed_14,282,0,129.0791637685722,659.7992298804954,False
hpmcounter4,jump,test_seed_15,282,0,74.90039926984792,659.7992298804954,False
hpmcounter4,jump,test_seed_16,282,0,96.83108163451408,659.7992298804954,False
hpmcounter4,jump,test_seed_17,282,0,106.80599834836129,659.7992298804954,False
hpmcounter4,jump,test_seed_18,282,0,207.51458559715928,659.7992298804954,False
hpmcounter4,jump,test_seed_19,282,0,224.9767481969426,659.7992298804954,False
hpmcounter4,jump,test_seed_2,282,0,427.2874597689993,659.7992298804954,False
hpmcounter4,jump,test_seed_20,282,0,451.1247805448651,659.7992298804954,False
hpmcounter4,jump,test_seed_3,282,0,286.3303776847284,659.7992298804954,False
hpmcounter4,jump,test_seed_4,282,0,328.7983287335527,659.7992298804954,False
hpmcounter4,jump,test_seed_5,282,0,232.6699865453905,659.7992298804954,False
hpmcounter4,jump,test_seed_6,282,0,136.71630726882762,659.7992298804954,False
hpmcounter4,jump,test_seed_7,282,0,107.68182216303492,659.7992298804954,False
hpmcounter4,jump,test_seed_8,282,0,123.55752498246557,659.7992298804954,False
hpmcounter4,jump,test_seed_9,282,0,66.40694291479889,659.7992298804954,False
hpmcounter4,replay,test_seed_1,282,0,70.10354177934916,659.7992298804954,False
hpmcounter4,replay,test_seed_10,282,0,259.2436833360288,659.7992298804954,False
hpmcounter4,replay,test_seed_11,282,0,141.2793009526558,659.7992298804954,False
hpmcounter4,replay,test_seed_12,282,0,101.91941914781428,659.7992298804954,False
hpmcounter4,replay,test_seed_13,282,0,233.77948624564024,659.7992298804954,False
hpmcounter4,replay,test_seed_14,282,0,137.94972452541842,659.7992298804954,False
hpmcounter4,replay,test_seed_15,282,0,92.71434964232378,659.7992298804954,False
hpmcounter4,replay,test_seed_16,282,0,118.16461970989134,659.7992298804954,False
hpmcounter4,replay,test_seed_17,282,0,74.86137328280209,659.7992298804954,False
hpmcounter4,replay,test_seed_18,282,0,321.80438711033344,659.7992298804954,False
hpmcounter4,replay,test_seed_19,282,0,499.41023881548233,659.7992298804954,False
hpmcounter4,replay,test_seed_2,282,0,168.77162372897766,659.7992298804954,False
hpmcounter4,replay,test_seed_20,282,0,322.8511709266377,659.7992298804954,False
hpmcounter4,replay,test_seed_3,282,0,179.71551839596663,659.7992298804954,False
hpmcounter4,replay,test_seed_4,282,0,253.704056739145,659.7992298804954,False
hpmcounter4,replay,test_seed_5,282,0,96.36173191304964,659.7992298804954,False
hpmcounter4,replay,test_seed_6,282,0,74.30787777084194,659.7992298804954,False
hpmcounter4,replay,test_seed_7,282,0,74.30787777084194,659.7992298804954,False
hpmcounter4,replay,test_seed_8,282,0,74.30787777084194,659.7992298804954,False
hpmcounter4,replay,test_seed_9,282,0,74.30787777084194,659.7992298804954,False
hpmcounter5,drift,test_seed_1,282,0,36.82515914339716,119.89820685930462,False
hpmcounter5,drift,test_seed_10,282,0,47.17040375554648,119.89820685930462,False
hpmcounter5,drift,test_seed_11,282,2,135.51297501683104,119.89820685930462,True
hpmcounter5,drift,test_seed_12,282,0,57.65465236734129,119.89820685930462,False
hpmcounter5,drift,test_seed_13,282,0,41.35414723474128,119.89820685930462,False
hpmcounter5,drift,test_seed_14,282,0,35.1553958480329,119.89820685930462,False
hpmcounter5,drift,test_seed_15,282,0,73.58717859681384,119.89820685930462,False
hpmcounter5,drift,test_seed_16,282,0,70.07007446303116,119.89820685930462,False
hpmcounter5,drift,test_seed_17,282,0,103.81077016382474,119.89820685930462,False
hpmcounter5,drift,test_seed_18,282,0,66.0404018111693,119.89820685930462,False
hpmcounter5,drift,test_seed_19,282,0,45.34269191625407,119.89820685930462,False
hpmcounter5,drift,test_seed_2,282,0,58.43397772133934,119.89820685930462,False
hpmcounter5,drift,test_seed_20,282,0,65.28626057244517,119.89820685930462,False
hpmcounter5,drift,test_seed_3,282,0,42.21448546051719,119.89820685930462,False
hpmcounter5,drift,test_seed_4,282,0,34.4489666334216,119.89820685930462,False
hpmcounter5,drift,test_seed_5,282,0,31.995409982610106,119.89820685930462,False
hpmcounter5,drift,test_seed_6,282,0,48.04929361394927,119.89820685930462,False
hpmcounter5,drift,test_seed_7,282,0,77.42571527023871,119.89820685930462,False
hpmcounter5,drift,test_seed_8,282,0,30.326228930112173,119.89820685930462,False
hpmcounter5,drift,test_seed_9,282,0,54.13254696303775,119.89820685930462,False
hpmcounter5,jump,test_seed_1,282,0,74.9230995435652,119.89820685930462,False
hpmcounter5,jump,test_seed_10,282,0,45.28283225420397,119.89820685930462,False
hpmcounter5,jump,test_seed_11,282,0,54.718589059723335,119.89820685930462,False
