counter,mode,n_runs,n_z_only,n_d_only,n_v_only,n_or,n_majority_2of3,n_and_all3
hpmcounter10,drift,20,0,1,0,1,0,0
hpmcounter10,jump,20,0,0,0,0,0,0
hpmcounter10,replay,20,0,0,1,1,0,0
hpmcounter3,drift,20,0,2,2,3,0,0
hpmcounter3,jump,20,2,1,1,3,0,0
hpmcounter3,replay,20,0,2,7,9,0,0
hpmcounter4,drift,20,0,0,0,0,0,0
hpmcounter4,jump,20,0,0,0,0,0,0
hpmcounter4,replay,20,2,0,0,2,0,0
hpmcounter5,drift,20,0,3,1,4,0,0
hpmcounter5,jump,20,0,0,0,0,0,0
hpmcounter5,replay,20,0,0,0,0,0,0
hpmcounter6,drift,20,0,1,0,1,0,0
hpmcounter6,jump,20,0,0,0,0,0,0
hpmcounter6,replay,20,0,1,0,1,0,0
hpmcounter7,drift,20,0,0,0,0,0,0
hpmcounter7,jump,20,0,3,0,3,0,0
hpmcounter7,replay,20,0,1,1,2,0,0
hpmcounter8,drift,20,0,0,0,0,0,0
hpmcounter8,jump,20,0,0,0,0,0,0
hpmcounter8,replay,20,0,2,1,3,0,0
hpmcounter9,drift,20,0,0,0,0,0,0
hpmcounter9,jump,20,0,0,0,0,0,0
hpmcounter9,replay,20,0,1,0,1,0,0
