counter,seed,max_D,num_windows
hpmcounter10,test_seed_1,64.27921302170215,282
hpmcounter10,test_seed_10,81.89492660138782,282
hpmcounter10,test_seed_11,161.12730553810127,282
hpmcounter10,test_seed_12,116.74321959152606,282
hpmcounter10,test_seed_13,103.65031402559326,282
hpmcounter10,test_seed_14,84.45504309681337,282
hpmcounter10,test_seed_15,64.02100310525776,282
hpmcounter10,test_seed_16,75.54458850357807,282
hpmcounter10,test_seed_17,90.00898814037777,282
hpmcounter10,test_seed_18,55.90389154895037,282
hpmcounter10,test_seed_19,180.4120323291258,282
hpmcounter10,test_seed_2,122.26007677265368,282
hpmcounter10,test_seed_20,67.15483676083146,282
hpmcounter10,test_seed_3,133.58917238657648,282
hpmcounter10,test_seed_4,64.82361389090927,282
hpmcounter10,test_seed_5,236.31335484677146,282
hpmcounter10,test_seed_6,105.10956019594094,282
hpmcounter10,test_seed_7,63.06427939784758,282
hpmcounter10,test_seed_8,96.27667520024576,282
hpmcounter10,test_seed_9,59.575938312105436,282
hpmcounter3,test_seed_1,89.8358491746622,282
hpmcounter3,test_seed_10,83.12138662177094,282
hpmcounter3,test_seed_11,78.42762332718084,282
hpmcounter3,test_seed_12,63.75882687386777,282
hpmcounter3,test_seed_13,54.40154445957827,282
hpmcounter3,test_seed_14,87.10009974508469,282
hpmcounter3,test_seed_15,87.53115087657547,282
hpmcounter3,test_seed_16,95.97571544504724,282
hpmcounter3,test_seed_17,76.11689881475174,282
hpmcounter3,test_seed_18,188.01253183420465,282
hpmcounter3,test_seed_19,178.63847718723852,282
hpmcounter3,test_seed_2,120.57185788858737,282
hpmcounter3,test_seed_20,97.52701501048756,282
hpmcounter3,test_seed_3,217.45002603352606,282
hpmcounter3,test_seed_4,129.31032396735012,282
hpmcounter3,test_seed_5,72.8272058852116,282
hpmcounter3,test_seed_6,78.41020160375786,282
hpmcounter3,test_seed_7,62.94653797247398,282
hpmcounter3,test_seed_8,149.8360806467223,282
hpmcounter3,test_seed_9,173.89841655574935,282
hpmcounter4,test_seed_1,153.83238684596023,282
hpmcounter4,test_seed_10,262.40093823884064,282
hpmcounter4,test_seed_11,989.9654125550804,282
hpmcounter4,test_seed_12,157.82508729200075,282
hpmcounter4,test_seed_13,179.39058706731865,282
hpmcounter4,test_seed_14,310.7588748341473,282
hpmcounter4,test_seed_15,156.83102265893086,282
hpmcounter4,test_seed_16,76.40195796573849,282
hpmcounter4,test_seed_17,114.26692917635245,282
hpmcounter4,test_seed_18,164.6124105883035,282
hpmcounter4,test_seed_19,350.5276173562264,282
hpmcounter4,test_seed_2,156.36789450244032,282
hpmcounter4,test_seed_20,211.9959947103135,282
hpmcounter4,test_seed_3,144.60337001297296,282
hpmcounter4,test_seed_4,154.43922694076068,282
hpmcounter4,test_seed_5,642.4220623713065,282
hpmcounter4,test_seed_6,139.9606979226175,282
hpmcounter4,test_seed_7,214.7656914647626,282
hpmcounter4,test_seed_8,126.9499535607974,282
hpmcounter4,test_seed_9,303.59391289743536,282
hpmcounter5,test_seed_1,52.17971677153355,282
hpmcounter5,test_seed_10,87.48924769653105,282
hpmcounter5,test_seed_11,51.00085774417023,282
hpmcounter5,test_seed_12,50.02545944204551,282
hpmcounter5,test_seed_13,54.184354605929194,282
hpmcounter5,test_seed_14,40.711323515302496,282
hpmcounter5,test_seed_15,60.18284038419123,282
hpmcounter5,test_seed_16,48.39794468383608,282
hpmcounter5,test_seed_17,41.91214700111405,282
hpmcounter5,test_seed_18,46.360527590537046,282
hpmcounter5,test_seed_19,75.34447371843767,282
hpmcounter5,test_seed_2,58.48295490123217,282
hpmcounter5,test_seed_20,169.90422757172468,282
hpmcounter5,test_seed_3,33.96245472337095,282
hpmcounter5,test_seed_4,38.63982501473161,282
hpmcounter5,test_seed_5,117.26631103233511,282
hpmcounter5,test_seed_6,52.623306536128105,282
hpmcounter5,test_seed_7,95.60815192335386,282
