seed,mode,onset_fraction_of_own_run,run_elapsed_max_ms,onset_elapsed_ms,onset_grid_index
test_seed_1,drift,0.5,272912,136456.0,168
test_seed_1,jump,0.5,271582,135791.0,167
test_seed_1,replay,0.5,273355,136677.5,168
test_seed_10,drift,0.5,267280,133640.0,165
test_seed_10,jump,0.5,271131,135565.5,167
test_seed_10,replay,0.5,271084,135542.0,167
test_seed_11,drift,0.5,272349,136174.5,168
test_seed_11,jump,0.5,273264,136632.0,168
test_seed_11,replay,0.5,269384,134692.0,166
test_seed_12,drift,0.5,270017,135008.5,166
test_seed_12,jump,0.5,272760,136380.0,168
test_seed_12,replay,0.5,272265,136132.5,168
test_seed_13,drift,0.5,270284,135142.0,166
test_seed_13,jump,0.5,272789,136394.5,168
test_seed_13,replay,0.5,271760,135880.0,167
test_seed_14,drift,0.5,273450,136725.0,168
test_seed_14,jump,0.5,271922,135961.0,167
test_seed_14,replay,0.5,273336,136668.0,168
test_seed_15,drift,0.5,278401,139200.5,171
test_seed_15,jump,0.5,275015,137507.5,169
test_seed_15,replay,0.5,278486,139243.0,171
test_seed_16,drift,0.5,271099,135549.5,167
test_seed_16,jump,0.5,271028,135514.0,167
test_seed_16,replay,0.5,275276,137638.0,169
test_seed_17,drift,0.5,271954,135977.0,167
test_seed_17,jump,0.5,268129,134064.5,165
test_seed_17,replay,0.5,274467,137233.5,169
test_seed_18,drift,0.5,271270,135635.0,167
test_seed_18,jump,0.5,270023,135011.5,166
test_seed_18,replay,0.5,271090,135545.0,167
test_seed_19,drift,0.5,272888,136444.0,168
test_seed_19,jump,0.5,275844,137922.0,170
test_seed_19,replay,0.5,274225,137112.5,169
test_seed_2,drift,0.5,274090,137045.0,169
test_seed_2,jump,0.5,275198,137599.0,169
test_seed_2,replay,0.5,285753,142876.5,176
test_seed_20,drift,0.5,268496,134248.0,165
test_seed_20,jump,0.5,268206,134103.0,165
test_seed_20,replay,0.5,268622,134311.0,165
test_seed_3,drift,0.5,274695,137347.5,169
test_seed_3,jump,0.5,274240,137120.0,169
test_seed_3,replay,0.5,270952,135476.0,167
test_seed_4,drift,0.5,276550,138275.0,170
test_seed_4,jump,0.5,271016,135508.0,167
test_seed_4,replay,0.5,274268,137134.0,169
test_seed_5,drift,0.5,272047,136023.5,167
test_seed_5,jump,0.5,272613,136306.5,168
test_seed_5,replay,0.5,270213,135106.5,166
test_seed_6,drift,0.5,272659,136329.5,168
test_seed_6,jump,0.5,270441,135220.5,166
test_seed_6,replay,0.5,271326,135663.0,167
test_seed_7,drift,0.5,273234,136617.0,168
test_seed_7,jump,0.5,269701,134850.5,166
test_seed_7,replay,0.5,271326,135663.0,167
test_seed_8,drift,0.5,271814,135907.0,167
test_seed_8,jump,0.5,271897,135948.5,167
test_seed_8,replay,0.5,271326,135663.0,167
test_seed_9,drift,0.5,273062,136531.0,168
test_seed_9,jump,0.5,269264,134632.0,166
test_seed_9,replay,0.5,271326,135663.0,167
