register,anomaly_type,n_anomaly_runs,n_normal_runs,median_of_run_medians_anomaly,median_of_run_medians_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
fa0,jump,5,5,4180384.7025,4180274.4433,25.0,0.007936507936507936,1.0,0.1111111111111111,False
fa0,drift,5,5,4180376.6995,4180274.4433,25.0,0.007936507936507936,1.0,0.1111111111111111,False
fa1,jump,5,5,852255.1473,851759.4192,25.0,0.007936507936507936,1.0,0.1111111111111111,False
ft1,replay,5,5,13.64867353183449,702.2360268762109,2.0,0.03614514204656229,-0.84,0.37952399148890403,False
ft1,drift,5,5,14.351388051440894,702.2360268762109,4.0,0.09369261949324817,-0.68,0.7870180037432847,False
fa2,replay,5,5,4726134.3786,4726140.34695,5.0,0.15079365079365079,-0.6,0.9047619047619048,False
fa1,replay,5,5,851760.7008,851759.4192,20.0,0.15079365079365079,0.6,0.9047619047619048,False
fa4,replay,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa3,jump,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa4,jump,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa5,jump,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fflags,jump,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
fcsr,jump,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
ft0,replay,5,5,4726199.2439,4726199.2439,12.5,1.0,0.0,1.0,False
ft2,replay,5,5,9.886137947810411,11.511806807248687,7.0,0.2948019919337048,-0.44,1.0,False
ft3,replay,5,5,2.827946391766963,4.059194638774933,10.0,0.6751736149271245,-0.2,1.0,False
fa2,jump,5,5,4726141.1675,4726140.34695,17.5,0.345741825860727,0.4,1.0,False
fs0,replay,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa0,replay,5,5,4180279.8105,4180274.4433,18.0,0.30952380952380953,0.44,1.0,False
fa3,replay,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa5,replay,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
ft4,replay,5,5,2.60187674404575,2.5016305553797733,16.0,0.5296192990034517,0.28,1.0,False
ft0,drift,5,5,4726199.2439,4726199.2439,12.5,1.0,0.0,1.0,False
fs0,jump,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
ft2,drift,5,5,9.979339452103693,11.511806807248687,9.0,0.5296192990034517,-0.28,1.0,False
ft3,drift,5,5,3.0128136501965592,4.059194638774933,13.0,1.0,0.04,1.0,False
ft4,drift,5,5,2.960504566648274,2.5016305553797733,16.0,0.5296192990034517,0.28,1.0,False
fs0,drift,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fa1,drift,5,5,851759.55675,851759.4192,17.5,0.345741825860727,0.4,1.0,False
fa2,drift,5,5,4726141.1675,4726140.34695,17.5,0.345741825860727,0.4,1.0,False
fa3,drift,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fflags,replay,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
fa4,drift,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fflags,drift,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
fcsr,drift,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
ft0,jump,5,5,4726199.2439,4726199.2439,12.5,1.0,0.0,1.0,False
ft1,jump,5,5,147.2065808403719,702.2360268762109,10.0,0.6751736149271245,-0.2,1.0,False
ft2,jump,5,5,11.512129843556735,11.511806807248687,13.0,1.0,0.04,1.0,False
ft3,jump,5,5,4.059446488813547,4.059194638774933,13.0,1.0,0.04,1.0,False
ft4,jump,5,5,2.922621657849959,2.5016305553797733,16.0,0.5296192990034517,0.28,1.0,False
fa5,drift,5,5,0.0,0.0,12.5,1.0,0.0,1.0,False
fcsr,replay,5,5,1.0,1.0,12.5,1.0,0.0,1.0,False
