counter,anomaly_type,n_anomaly_runs,n_normal_runs,median_of_run_medians_anomaly,median_of_run_medians_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
hpmcounter3,drift,5,5,1885851.0,1884075.5,13.0,1.0,0.04,1.0,False
hpmcounter8,replay,5,5,29809.0,30096.0,8.0,0.42063492063492064,-0.36,1.0,False
hpmcounter7,replay,5,5,2504.5,2496.0,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter6,replay,5,5,21059.0,21059.5,10.5,0.7432568200144034,-0.16,1.0,False
hpmcounter4,replay,5,5,2310.0,2309.0,12.0,1.0,-0.04,1.0,False
hpmcounter3,replay,5,5,1885479.5,1884075.5,12.0,1.0,-0.04,1.0,False
hpmcounter10,jump,5,5,5277.0,5278.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter9,jump,5,5,9857070.0,9842053.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter8,jump,5,5,29555.0,30096.0,7.0,0.30952380952380953,-0.44,1.0,False
hpmcounter9,replay,5,5,9846820.5,9842053.5,12.0,1.0,-0.04,1.0,False
hpmcounter7,jump,5,5,2466.0,2496.0,11.0,0.8412698412698413,-0.12,1.0,False
hpmcounter4,jump,5,5,2310.0,2309.0,14.0,0.8314844686870179,0.12,1.0,False
hpmcounter3,jump,5,5,1887115.0,1884075.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter10,drift,5,5,5280.5,5278.5,13.0,1.0,0.04,1.0,False
hpmcounter9,drift,5,5,9852219.0,9842053.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter8,drift,5,5,29841.0,30096.0,16.0,0.5476190476190477,0.28,1.0,False
hpmcounter7,drift,5,5,2515.0,2496.0,16.0,0.5296192990034517,0.28,1.0,False
hpmcounter6,drift,5,5,21059.0,21059.5,12.5,1.0,0.0,1.0,False
hpmcounter4,drift,5,5,2314.5,2309.0,13.5,0.9160510722818964,0.08,1.0,False
hpmcounter6,jump,5,5,21058.0,21059.5,5.0,0.13386214475543093,-0.6,1.0,False
hpmcounter10,replay,5,5,5282.5,5278.5,16.0,0.5476190476190477,0.28,1.0,False
