seed,run_type,hpmcounter3,hpmcounter4,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
seed_new_1,normal,1891587.0,2320.0,21059.5,2496.0,30151.0,9880557.0,5270.5
seed_new_1,drift,1877720.5,2303.5,21056.0,2471.0,29735.5,9809114.0,5264.5
seed_new_1,jump,1877456.0,2299.0,21058.0,2481.0,30031.0,9807014.0,5258.0
seed_new_1,replay,1885917.0,2310.0,21059.0,2508.0,29909.0,9850445.0,5274.0
seed_new_2,normal,1888719.0,2319.0,21060.0,2382.0,30189.0,9865410.0,5312.0
seed_new_2,drift,1888691.0,2319.0,21059.0,2515.0,29841.0,9866945.0,5327.0
seed_new_2,jump,1887115.0,2310.0,21058.0,2466.0,29905.0,9857070.0,5327.0
seed_new_2,replay,1885479.5,2310.0,21059.0,2506.0,29699.0,9846820.5,5332.5
seed_new_3,normal,1883460.0,2309.0,21059.5,2528.5,29705.5,9838952.5,5315.5
seed_new_3,drift,1885851.0,2314.5,21057.0,2516.0,29725.0,9852219.0,5304.5
seed_new_3,jump,1889067.0,2319.0,21058.0,2508.0,29542.0,9868465.0,5318.0
seed_new_3,replay,1888993.0,2314.5,21059.0,2503.0,29653.0,9867874.0,5294.5
seed_new_4,normal,1362578.0,1670.0,20923.0,1814.0,23038.0,7145651.0,4958.0
seed_new_4,drift,1886551.5,2314.5,21060.0,2449.0,30763.0,9852651.0,5280.5
seed_new_4,jump,1886287.0,2310.0,21059.0,2408.0,29484.0,9851327.0,5270.0
seed_new_4,replay,1880633.5,2304.5,21060.5,2504.5,30076.5,9821345.5,5281.5
seed_new_5,normal,1884075.5,2309.0,21059.5,2509.0,30096.0,9842053.5,5278.5
seed_new_5,drift,1884957.0,2310.0,21061.0,2515.0,30487.0,9843646.0,5269.0
seed_new_5,jump,1888365.0,2319.0,21056.0,2422.0,29555.0,9864328.0,5277.0
seed_new_5,replay,1882706.0,2309.0,21059.5,2396.5,29809.0,9834157.5,5282.5
