seed,run_type,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
seed_1_data,normal,1088.0,27540.0,30329.0,10064319.0,28437.0,8688690.0,104918.0,5245337.0
seed_1_data,drift,1086.5,27871.5,29831.0,9978889.0,28342.0,8612632.5,104061.5,5198434.0
seed_1_data,jump,1106.0,27645.0,29855.0,9981611.0,28355.0,8612479.0,104119.0,5198739.0
seed_1_data,replay,1079.5,27651.5,29559.5,10068578.5,28444.0,8694513.5,104923.5,5246750.0
seed_2_data,normal,1095.0,27643.5,29926.5,10019907.5,28393.5,8650028.5,104459.0,5220829.5
seed_2_data,drift,1122.0,27531.0,29472.0,10015363.0,28385.0,8645639.0,104455.0,5218442.0
seed_2_data,jump,880.0,27637.0,29551.0,10032579.0,28411.0,8662336.0,104604.0,5227476.0
seed_2_data,replay,1086.5,27989.5,29378.5,9974678.0,28335.0,8611660.0,104020.5,5196809.5
seed_3_data,normal,870.5,27858.5,29229.0,9989696.5,28348.0,8625134.0,104163.0,5204828.5
seed_3_data,drift,972.5,27865.5,30162.0,10017263.0,28387.0,8644724.0,104429.5,5218516.0
seed_3_data,jump,877.5,27646.5,29539.0,10002951.0,28367.5,8633942.5,104311.0,5211022.0
seed_3_data,replay,1065.0,27984.5,30156.0,10068829.5,28444.0,8691939.5,104926.0,5247353.0
seed_4_data,normal,1024.5,27657.5,29764.0,10021043.0,28391.0,8652904.5,104467.0,5222114.5
seed_4_data,drift,1093.0,27869.0,29796.0,10031015.0,28411.0,8658756.0,104594.0,5226423.0
seed_4_data,jump,1062.0,27655.5,29592.0,10012228.0,28388.0,8645213.5,104403.0,5216165.5
seed_4_data,replay,958.5,27525.5,29893.5,10009661.5,28381.0,8641600.0,104376.5,5215378.0
seed_5_data,normal,880.0,27751.0,29639.0,10028865.0,28410.0,8658428.0,104578.0,5224699.0
seed_5_data,drift,1072.5,27881.5,29601.0,9984557.0,28348.0,8615980.0,104128.0,5202105.0
seed_5_data,jump,1111.0,27655.0,29124.0,10002333.0,28366.0,8636212.0,104275.0,5212589.0
seed_5_data,replay,1055.0,27649.5,29258.0,10021459.5,28388.5,8651262.5,104464.5,5221426.5
