iter,mcycle,minstret,pc,hpmcounter3,hpmcounter4,hpmcounter5,hpmcounter6,hpmcounter7,hpmcounter8,hpmcounter9,hpmcounter10
0,0x11860b,0x9aaba,0x800066a4,0x46,0x6e61,0x171,0x3d952,0x426e,0x10f7a,0x23e2,0x1419
1,0x12fd2c,0xb1b1d,0x800066a4,0x83,0x6e68,0x23b,0x48e51,0x42a4,0x1afe5,0x25a5,0x74b2
2,0x1473fe,0xc8bda,0x800066a4,0x86,0x6e6b,0x2f6,0x54391,0x42da,0x25076,0x2768,0xd543
3,0x15ea01,0xdfbc1,0x800066a4,0x89,0x6e6e,0x39d,0x5f815,0x4310,0x2f0fb,0x292b,0x135d2
4,0x17601c,0xf6be9,0x800066a4,0x8e,0x6e71,0x451,0x6accd,0x4346,0x391d8,0x2aee,0x1965d
5,0x18d642,0x10dc28,0x800066a4,0x93,0x6e74,0x4ff,0x761a6,0x437c,0x432ba,0x2cb1,0x1f6f2
6,0x1a4c73,0x124cbb,0x800066a4,0x96,0x6e77,0x5a4,0x816c7,0x43b2,0x4d3a6,0x2e74,0x2578a
7,0x1bc2a3,0x13bd13,0x800066a4,0x9c,0x6e7b,0x652,0x8cbb1,0x43e8,0x5744d,0x3037,0x2b81e
8,0x1d38a0,0x152da8,0x800066a4,0xa0,0x6e7e,0x6f2,0x980cf,0x441e,0x614d4,0x31fa,0x318a8
9,0x1eaeac,0x169e90,0x800066a4,0xa4,0x6e81,0x792,0xa3608,0x4454,0x6b567,0x33bd,0x37933
10,0x2024c9,0x180f41,0x800066a4,0xa7,0x6e84,0x826,0xaeb48,0x448a,0x75624,0x3580,0x3d9bc
11,0x219ac5,0x197fb3,0x800066a4,0xab,0x6e87,0x8cb,0xba048,0x44c0,0x7f6b3,0x3744,0x43a48
12,0x2310b4,0x1af077,0x800066a4,0xae,0x6e8a,0x95f,0xc557f,0x44f6,0x8978f,0x3908,0x49ace
13,0x248679,0x1c6152,0x800066a4,0xb1,0x6e8d,0x9f8,0xd0aad,0x452c,0x937e9,0x3acc,0x4fb58
14,0x25fccb,0x1dd171,0x800066a4,0xb5,0x6e90,0xaad,0xdbf69,0x4562,0x9d890,0x3c90,0x55be7
15,0x2772d9,0x1f421a,0x800066a4,0xbc,0x6e94,0xb53,0xe7475,0x4598,0xa7951,0x3e54,0x5bc76
16,0x28e91e,0x20b345,0x800066a4,0xc0,0x6e97,0xbf6,0xf29ee,0x45ce,0xb1a2f,0x4018,0x61d07
17,0x2a5f7b,0x2223b7,0x800066a4,0xc4,0x6e9a,0xcb1,0xfded0,0x4604,0xbbafa,0x41dc,0x67d99
18,0x2bd55f,0x23938f,0x800066a4,0xc8,0x6e9d,0xd56,0x10935c,0x463a,0xc5b6e,0x43a0,0x6de24
19,0x2d4b75,0x2503a3,0x800066a4,0xcd,0x6ea0,0xe08,0x114801,0x4670,0xcfc2e,0x4564,0x73eb5
20,0x2ec158,0x267415,0x800066a4,0xd0,0x6ea3,0xea4,0x11fcff,0x46a6,0xd9d37,0x4728,0x79f3e
21,0x3037ea,0x27e4c3,0x800066a4,0xd4,0x6ea6,0xf57,0x12b23a,0x46dc,0xe3df9,0x48ec,0x7ffce
22,0x31ade7,0x2954ea,0x800066a4,0xd8,0x6ea9,0xff7,0x13670c,0x4712,0xedec8,0x4ab0,0x8605d
23,0x33241a,0x2ac5b2,0x800066a4,0xdb,0x6eac,0x109c,0x141c44,0x4748,0xf7fa3,0x4c74,0x8c0ec
24,0x349a1b,0x2c3663,0x800066a4,0xe0,0x6eaf,0x1132,0x14d172,0x477e,0x10205a,0x4e38,0x92179
25,0x360f9a,0x2da63b,0x800066a4,0xe3,0x6eb2,0x11c6,0x1585f6,0x47b4,0x10c13c,0x4ffc,0x98206
26,0x378566,0x2f16b1,0x800066a4,0xe7,0x6eb5,0x1260,0x163aed,0x47ea,0x1161f4,0x51c0,0x9e292
27,0x38fb7c,0x3086aa,0x800066a4,0xeb,0x6eb8,0x1311,0x16ef87,0x4820,0x1202ad,0x5384,0xa4321
28,0x3a71a2,0x31f704,0x800066a4,0xef,0x6ebb,0x13b5,0x17a48c,0x4856,0x12a34b,0x5548,0xaa3aa
29,0x3be762,0x3366df,0x800066a4,0xf1,0x6ebe,0x144a,0x18591c,0x488c,0x134404,0x570c,0xb0440
30,0x3d5d73,0x34d7b8,0x800066a4,0xf3,0x6ec1,0x14eb,0x190e55,0x48c2,0x13e4ea,0x58d0,0xb64cf
31,0x3ed32d,0x3647ae,0x800066a4,0xf6,0x6ec4,0x158e,0x19c2d7,0x48f8,0x14856d,0x5a94,0xbc562
32,0x4049e8,0x37b83c,0x800066a4,0xfb,0x6ec7,0x163e,0x1a77f7,0x492e,0x15261e,0x5c58,0xc25ee
33,0x41c07a,0x3928f9,0x800066a4,0x101,0x6eca,0x16ec,0x1b2d30,0x4964,0x15c6a8,0x5e1c,0xc8680
34,0x4336b8,0x3a9965,0x800066a4,0x107,0x6ecd,0x1797,0x1be21c,0x499a,0x166736,0x5fe0,0xce717
