counter,anomaly_type,n_anomaly_runs,n_normal_runs,median_of_run_medians_anomaly,median_of_run_medians_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
hpmcounter6,jump,5,5,10002951.0,10021043.0,7.0,0.30952380952380953,-0.44,0.6753246753246753,False
hpmcounter4,drift,5,5,27869.0,27657.5,20.0,0.15079365079365079,0.6,0.6753246753246753,False
hpmcounter10,jump,5,5,5212589.0,5222114.5,7.0,0.30952380952380953,-0.44,0.6753246753246753,False
hpmcounter6,drift,5,5,10015363.0,10021043.0,6.0,0.2222222222222222,-0.52,0.6753246753246753,False
hpmcounter7,drift,5,5,28385.0,28393.5,6.5,0.24915263858192682,-0.48,0.6753246753246753,False
hpmcounter8,drift,5,5,8644724.0,8652904.5,6.0,0.2222222222222222,-0.52,0.6753246753246753,False
hpmcounter9,drift,5,5,104429.5,104467.0,6.0,0.2222222222222222,-0.52,0.6753246753246753,False
hpmcounter10,drift,5,5,5218442.0,5222114.5,6.0,0.2222222222222222,-0.52,0.6753246753246753,False
hpmcounter9,jump,5,5,104311.0,104467.0,7.0,0.30952380952380953,-0.44,0.6753246753246753,False
hpmcounter8,jump,5,5,8636212.0,8652904.5,7.0,0.30952380952380953,-0.44,0.6753246753246753,False
hpmcounter5,jump,5,5,29551.0,29764.0,6.0,0.2222222222222222,-0.52,0.6753246753246753,False
hpmcounter7,jump,5,5,28367.5,28393.5,8.0,0.42063492063492064,-0.36,0.7765567765567766,False
hpmcounter3,drift,5,5,1086.5,1024.5,17.0,0.42063492063492064,0.36,0.7765567765567766,False
hpmcounter4,jump,5,5,27646.5,27657.5,9.0,0.5476190476190477,-0.28,0.9387755102040817,False
hpmcounter3,jump,5,5,1062.0,1024.5,15.5,0.6004018480969686,0.24,0.9606429569551498,False
hpmcounter5,drift,5,5,29796.0,29764.0,12.0,1.0,-0.04,1.0,False
hpmcounter3,replay,5,5,1065.0,1024.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter4,replay,5,5,27651.5,27657.5,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter5,replay,5,5,29559.5,29764.0,10.0,0.6904761904761905,-0.2,1.0,False
hpmcounter6,replay,5,5,10021459.5,10021043.0,14.0,0.8412698412698413,0.12,1.0,False
hpmcounter7,replay,5,5,28388.5,28393.5,12.0,1.0,-0.04,1.0,False
hpmcounter8,replay,5,5,8651262.5,8652904.5,13.0,1.0,0.04,1.0,False
hpmcounter9,replay,5,5,104464.5,104467.0,13.0,1.0,0.04,1.0,False
hpmcounter10,replay,5,5,5221426.5,5222114.5,13.0,1.0,0.04,1.0,False
