register,value_normal,value_drift,value_jump,value_replay,differs_across_modes
ft2,8.850284498715238,11.511806807248687,11.51212806994317,11.512129843556735,True
ft3,2.576030102188451,4.059194638774933,4.05944510602509,4.059446488813547,True
ft4,2.524371948442071,3.687890163283524,3.687897012330648,3.687896655377686,True
ft1,12.475782154753706,716.1188020829372,12.780402836052152,157.14718800113855,True
ft0,4726199.2439,4726199.2439,4726199.2439,4726199.2439,False
fs5,0.0,0.0,0.0,0.0,False
frm,0.0,0.0,0.0,0.0,False
fflags,1.0,1.0,1.0,1.0,False
fa7,0.0,0.0,0.0,0.0,False
fa6,0.0,0.0,0.0,0.0,False
fs11,0.0,0.0,0.0,0.0,False
fs10,0.0,0.0,0.0,0.0,False
fs9,0.0,0.0,0.0,0.0,False
fs8,0.0,0.0,0.0,0.0,False
fs7,0.0,0.0,0.0,0.0,False
fs6,0.0,0.0,0.0,0.0,False
fs3,0.0,0.0,0.0,0.0,False
fs4,0.0,0.0,0.0,0.0,False
fs2,0.0,0.0,0.0,0.0,False
fs1,0.0,0.0,0.0,0.0,False
ft11,0.0,0.0,0.0,0.0,False
ft10,0.0,0.0,0.0,0.0,False
ft9,0.0,0.0,0.0,0.0,False
ft8,0.0,0.0,0.0,0.0,False
ft7,0.0,0.0,0.0,0.0,False
ft6,0.0,0.0,0.0,0.0,False
ft5,0.0,0.0,0.0,0.0,False
fcsr,1.0,1.0,1.0,1.0,False
