register,anomaly_mode,median_anomaly,median_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
fa1,jump,852255.5445,851759.6077,53482.0,2.7222373112848597e-72,0.9618502622794468,5.716698353698206e-71,True
fa0,drift,4180376.5371,4180275.8915,34550.5,9.357729836015078e-07,0.2620034700027395,6.550410885210554e-06,True
fa0,jump,4180379.075,4180275.8915,34429.0,8.770737930760448e-07,0.26293973075088956,6.550410885210554e-06,True
fa2,replay,4726135.87065,4726142.7268,25031.0,0.126273429843963,-0.08180184145849381,0.6629355066808058,False
fa1,replay,851760.6239,851759.6077,29106.0,0.20589445895473313,0.06767910201386597,0.8647567276098791,False
fs0,drift,4726199.2439,4726199.2439,26899.0,0.3729501751535217,-0.01747785590357045,0.9855005641878795,False
fa3,replay,0.0,0.0,27053.5,0.8745902339509783,-0.007611606324052676,0.9855005641878795,False
fa0,replay,4180283.3806499997,4180275.8915,27797.0,0.7133571033833928,0.019661787902131248,0.9855005641878795,False
fs0,replay,4726199.2439,4726199.2439,27235.0,0.9581835218805036,-0.0009537434430138292,0.9855005641878795,False
fa5,jump,0.0,0.0,26919.0,0.7536721105311033,-0.012545394519643446,0.9855005641878795,False
fa4,jump,0.0,0.0,26867.0,0.7034824773611152,-0.014452881405671105,0.9855005641878795,False
fa2,jump,4726141.8912,4726142.7268,27234.0,0.9855005641878795,-0.0009904258831297458,0.9855005641878795,False
fa4,replay,0.0,0.0,27152.0,0.9183206948109043,-0.0039983859726349,0.9855005641878795,False
fs0,jump,4726199.2439,4726199.2439,26907.0,0.4995837527599324,-0.012985583801034446,0.9855005641878795,False
fa5,drift,0.0,0.0,28223.5,0.44995554473536337,0.030901287553648068,0.9855005641878795,False
fa4,drift,0.0,0.0,28336.0,0.37328559667811123,0.03501050132407999,0.9855005641878795,False
fa3,drift,0.0,0.0,27634.5,0.8455547548437617,0.009387270568897817,0.9855005641878795,False
fa2,drift,4726143.1696,4726142.7268,26952.0,0.771412134010192,-0.015541959638389188,0.9855005641878795,False
fa1,drift,851759.6077,851759.6077,27455.0,0.9580212278592077,0.00283079170851977,0.9855005641878795,False
fa3,jump,0.0,0.0,26525.0,0.5744950440958507,-0.026998275925314553,0.9855005641878795,False
fa5,replay,0.0,0.0,27009.0,0.8206866390562491,-0.00924397490921096,0.9855005641878795,False
