counter,anomaly_type,median_anomaly,median_normal,U,p_value,cliffs_delta,p_value_fdr,significant_fdr_0.05
hpmcounter5,drift,63.0,97.0,0.0,1.453138387642142e-103,-1.0,1.918737697684793e-102,True
hpmcounter5,replay,86.0,97.0,0.0,2.398422122105991e-103,-1.0,1.918737697684793e-102,True
hpmcounter5,jump,87.0,97.0,0.0,2.398422122105991e-103,-1.0,1.918737697684793e-102,True
hpmcounter8,replay,29453.5,30876.0,23608.0,0.012252264417863019,-0.134000953743443,0.07351358650717811,False
hpmcounter7,replay,2496.0,2399.0,30101.0,0.05150269545657352,0.10417812992920289,0.21386140270167386,False
hpmcounter8,jump,29821.5,30876.0,24444.5,0.053465350675418466,-0.10331609258647885,0.21386140270167386,False
hpmcounter8,drift,29995.0,30876.0,25214.5,0.13934035017065843,-0.07900648342617113,0.47773834344225746,False
hpmcounter3,drift,1885496.0,1894975.0,27134.0,0.8680695402160765,-0.008894164916445986,0.9953490643502182,False
hpmcounter6,replay,21061.5,21061.0,27442.5,0.901215355723229,0.0066578628810388465,0.9953490643502182,False
hpmcounter4,replay,2317.0,2321.0,27252.0,0.9953490643502183,-0.0003301419610432486,0.9953490643502182,False
hpmcounter3,replay,1891852.5,1894975.0,27233.0,0.9849537310668057,-0.0010271083232456623,0.9953490643502182,False
hpmcounter10,jump,5140.5,5144.0,26864.0,0.7856908040600363,-0.014562928726018855,0.9953490643502182,False
hpmcounter9,jump,9868481.5,9894742.0,27227.0,0.981671434532309,-0.0012472029639411615,0.9953490643502182,False
hpmcounter6,jump,21060.5,21061.0,27235.5,0.9863211553955229,-0.000935402222955871,0.9953490643502182,False
hpmcounter9,replay,9881008.5,9894742.0,27240.0,0.988783395044653,-0.0007703312424342467,0.9953490643502182,False
hpmcounter4,jump,2315.5,2321.0,27241.0,0.9893304652872917,-0.0007336488023183302,0.9953490643502182,False
hpmcounter3,jump,1889615.5,1894975.0,27212.0,0.9734671720210911,-0.001797439565679909,0.9953490643502182,False
hpmcounter10,drift,5143.0,5144.0,27428.5,0.9724616289112541,0.001862843575929139,0.9953490643502182,False
hpmcounter9,drift,9847194.0,9894742.0,27142.0,0.8723750615635462,-0.008601954159437495,0.9953490643502182,False
hpmcounter7,drift,2414.0,2399.0,28207.5,0.5706895314306537,0.030316866039631084,0.9953490643502182,False
hpmcounter6,drift,21058.0,21061.0,26846.0,0.7166141320609944,-0.019413752168751713,0.9953490643502182,False
hpmcounter4,drift,2310.0,2321.0,27142.0,0.8723745282932066,-0.008601954159437495,0.9953490643502182,False
hpmcounter7,jump,2407.5,2399.0,27916.5,0.6532978933702835,0.024045339495983274,0.9953490643502182,False
hpmcounter10,replay,5152.5,5144.0,27904.5,0.6592459284028147,0.023605150214592276,0.9953490643502182,False
