check,warmup_rows,median_normal,median_jump,cliffs_delta,p_value,median_preceded_by_normal,median_preceded_by_other
hpmcounter5_rate_jump_vs_normal,0,0.0012725475069523275,0.0012410715884733814,-0.89,1.575674219696402e-06,,
t5_preceded_by_normal_vs_other,0,,,0.46271186440677964,4.1589606221854655e-05,5746075.75,5627029.0
hpmcounter5_rate_jump_vs_normal,25,0.0012642765974388707,0.0012288127251654374,-0.845,5.1657788244971414e-06,,
t5_preceded_by_normal_vs_other,25,,,0.4745762711864407,2.6253073610927078e-05,5747625.25,5627029.0
hpmcounter5_rate_jump_vs_normal,50,0.0012539132413253795,0.0012201670139989752,-0.815,1.1044712116768222e-05,,
t5_preceded_by_normal_vs_other,50,,,0.4864406779661017,1.6397203534197707e-05,5753392.0,5627029.0
hpmcounter5_rate_jump_vs_normal,100,0.0012279768197609327,0.0012021599696708154,-0.69,0.00019970667503660234,,
t5_preceded_by_normal_vs_other,100,,,0.5,9.451661276012994e-06,5755073.5,5627029.0
hpmcounter5_rate_jump_vs_normal,150,0.0012093679329712441,0.001183643001152179,-0.47,0.011432829308440095,,
t5_preceded_by_normal_vs_other,150,,,0.4864406779661017,1.6397203534197707e-05,5753494.75,5627029.0
